"Entity","Maintaining Organization","Entity Type","Identity Archetype","Website","Year Launched","Primary Users","Identity Type","Identifier Standard","Reputation / Attestation Type","Social Graph Model","State Persistence Layer","Ethereum Role","On-Chain Verifiability","Smart Contract Composability","Cross-Protocol Reusability","Credential Standard Used","Who Can Issue Credentials","Revocation Mechanism","Role / Permission Enforcement","Sybil Resistance Mechanism","Verification Model","Key Trusted Parties","Censorship / Freeze Risk","Upgrade / Governance Control","Dependency on Centralized Services","Scalability Constraints","Primary Use Cases","Composable With","Defensibility Source","Sector Adjacency Risk","Description","Reason for Inclusion","Practitioner’s Note","Practitioner Validation Check"
"Lens Protocol","Lens Protocol (Lens Labs)","Protocol","On-Chain / Hybrid Social Graph","https://lens.xyz","2022","Developers, creators, social apps","Account-linked social identity","Address + Lens Profile NFT","Social actions as attestable state","Hybrid (on-chain graph, off-chain content refs)","Ethereum L2 (Polygon)","Canonical social graph registry","Partial (graph on-chain, content off-chain)","Very High","Very High","Lens protocol schemas (custom)","Any user / app via protocol rules","Profile ownership transfer / module logic","External (apps consume graph for access)","Economic (profile NFTs, costs)","Cryptographic + economic","Validators / sequencers","Medium","Protocol governance (Lens DAO path)","Yes (indexers, content storage)","L2 throughput; indexing","Social apps, reputation, discovery, access gating","DeFi, DAOs, NFTs, Identity","Network effects + composable graph","Medium","Canonical, composable social graph for Web3","Provides reusable relationship state across many apps","Lens is infrastructure, apps are replaceable","✔ Persistent graph ✔ Contract-readable ✔ Multi-app composable"
"Farcaster","Farcaster","Protocol","Hybrid Social Graph Infrastructure","https://www.farcaster.xyz","2021","Developers, creators, communities","Account-linked social identity","FID (Farcaster ID)","Social actions & reputation signals","Hybrid (off-chain graph with on-chain anchors)","Ethereum L2 (Optimism) + off-chain hubs","Identity anchoring & verification","Partial","High","High","Custom Farcaster protocol","Network participants","Key rotation / custody changes","External (apps gate via graph)","Economic + social cost","Hybrid","Hub operators","Medium","Foundation / protocol-led","Yes (hub infra)","Hub scalability; data sync","Social apps, community coordination","DAOs, Governance, Identity","Strong UX + network effects","Medium","Decentralized social protocol with shared identity layer","Enables multiple clients over a shared social graph","Graph is not fully on-chain, but composable","✔ Persistent IDs ✔ Multi-client ✔ Protocol-level reuse"
"CyberConnect","CyberConnect","Protocol","On-Chain Social Graph & Identity","https://cyberconnect.me","2021","Developers, creators, Web3 users","Account-linked social identity","Address + Cyber profile","Social relationships & engagement","Hybrid (on-chain relationships, off-chain content)","Ethereum L2s + off-chain storage","Social graph registry & identity","Partial","High","High","CyberConnect protocol schemas","Users & apps","Profile / relationship updates","External","Economic (profile creation)","Cryptographic","Protocol operators","Medium","Protocol-led","Yes (indexing infra)","Indexing & storage","Social apps, identity, discovery","DeFi, NFTs, Identity","Multi-chain graph strategy","Medium","Composable social graph infrastructure for Web3","Persistent social relationships usable by contracts","Less culturally dominant, still infra-grade","✔ Reusable graph ✔ Protocol-level ✔ Multi-app"
"Guild","Guild.xyz","Company","Role- & Credential-Based Access Control","https://guild.xyz","2021","DAOs, communities, Web3 apps","Credential-gated identity","Address-linked","Token / NFT / role-based credentials","No native social graph","Ethereum + L2s","Access gating & authorization layer","Partial (rules enforced off-chain, verifiable inputs)","High","Medium–High","Token/NFT ownership rules, custom conditions","DAO / community admins","Admin-controlled","External (apps enforce access)","Economic cost of assets","Hybrid","DAO admins","Medium","Company-led","Yes (API + bots)","Rule complexity; off-chain enforcement","Community access, DAO roles, gated features","DAOs, Governance, Social","Network effects + UX dominance","Medium","Widely used access-control layer for Web3 communities","Provides reusable credential-based access rules across many platforms","Enforcement is often off-chain, but credentials are reusable","✔ Reusable rules ✔ Multi-protocol ✔ Asset-backed gating"
"Collab.Land","Collab.Land","Company","Role- & Credential-Based Access Control","https://collab.land","2020","DAOs, NFT communities","Asset-gated identity","Address-linked","Token / NFT ownership","No social graph","Ethereum + L2s","Access verification & role assignment","Partial","Medium","Medium","Token/NFT ownership","Platform admins","Admin-controlled","External","Economic cost of assets","Hybrid","Platform operator","Medium","Company-controlled","Yes (Discord, Telegram APIs)","Platform coupling","Community gating, membership verification","DAOs, NFTs, Social","First-mover adoption","Medium","Token-gated access tooling for online communities","One of the earliest access-control primitives in Web3","More application-adjacent than infra-native","✔ Asset-based ✔ Reusable logic ✔ Multi-community"
"Hats Protocol","Hats Protocol DAO","Protocol / DAO","On-Chain Role & Authorization Primitive","https://hatsprotocol.xyz","2022","Protocol builders, DAOs","Role-based identity","Address-linked roles (NFT-based)","On-chain role attestations","No social graph","Ethereum L1 + L2s","Native role & permission registry","Full","Very High","Very High","ERC-1155-based role NFTs","Protocols / DAOs","On-chain revocation","Native on-chain enforcement","Governance / role hierarchy","Cryptographic","DAO governance","Low","DAO-governed","No","Role tree complexity","Protocol permissions, DAO ops, security","DeFi, DAOs, Governance","On-chain composability","Low","Canonical on-chain role and permission system","Makes roles first-class on Ethereum","Best suited where permissions must be enforced on-chain","✔ On-chain ✔ Composable ✔ Protocol-native"
"Role Protocol","Role Protocol","Protocol","Role-Based Access & Authorization","https://www.roleprotocol.xyz","2023","DAOs, protocol teams","Role-based identity","Address-linked roles","Role attestations","No social graph","Ethereum + L2s","Role assignment & authorization","Full","High","High","Custom role schemas","DAOs / protocols","On-chain updates","Native on-chain enforcement","Governance-based","Cryptographic","DAO governance","Low","Protocol-governed","No","Adoption & tooling","DAO roles, permissioned execution","DAOs, Governance, AI Agents","Simplicity & composability","Low","Lightweight on-chain role assignment protocol","Focused primitive for role-based authorization","Overlaps with Hats; differentiation is UX & scope","✔ On-chain ✔ Reusable ✔ Enforceable by contracts"
"Civic","Civic Technologies, Inc.","Company","Institutional / Compliance-Aligned Identity","https://www.civic.com","2017","Enterprises, protocols, issuers","Verified identity (KYC-backed)","Address-linked credentials","Identity & compliance attestations","No social graph","Off-chain identity systems + on-chain proofs","Eligibility & compliance gating","Partial","Medium","Medium","Custom credentials + attestations","Civic-approved verifiers","Issuer-controlled revocation","External (protocols gate access)","Government ID + KYC checks","Hybrid","Civic + verification partners","High","Company-controlled","High (KYC infra)","KYC throughput; jurisdictional rules","Compliance gating, regulated access","RWAs, DeFi, DAOs","Regulatory integrations","Medium","Identity verification and compliance infrastructure for Web3","Enables regulated protocols to gate access using verified identity","Strong for compliance, weaker for censorship resistance","✔ Identity reusable ✔ Verifiable ✔ Used for access control"
"Fractal","Fractal","Company","Institutional Identity & Compliance Layer","https://www.fractal.id","2021","Institutions, DAOs, Web3 apps","KYC-anchored decentralized identity","Address-linked","Compliance & eligibility credentials","No social graph","Off-chain identity systems + on-chain attestations","Compliance registry & verification","Partial","Medium–High","High","W3C Verifiable Credentials","Approved KYC providers","Credential revocation","External","Identity verification & attestations","Hybrid","KYC providers","Medium","Company-led","High","Jurisdictional onboarding","Institutional onboarding, DAO compliance","RWAs, DAOs, Governance","Compliance focus + UX","Medium","Identity layer bridging institutions into Web3","Provides reusable compliance credentials across protocols","Treat as compliance primitive, not neutral identity","✔ Off-chain identity ✔ On-chain verification ✔ Cross-protocol"
"Quadrata","Quadrata Inc.","Company","Institutional Identity Oracle","https://quadrata.com","2021","DeFi & RWA protocols","Compliance-scoped on-chain identity","Address-linked passport NFTs","KYC/AML & risk attributes","No social graph","Ethereum L1/L2","Identity oracle & access gating","Full (NFT-based passports)","High","Medium","ERC-721 “Passport” NFTs","Quadrata-approved issuers","Passport update / revocation","Native (protocols read attributes)","KYC-based uniqueness","Hybrid","Quadrata + KYC partners","High","Company-controlled","High","Oracle update latency","Institutional DeFi, permissioned RWAs","RWAs, DeFi","On-chain enforcement","Medium","On-chain identity oracle for compliant access control","Enables smart contracts to permission against compliance state","Powerful but introduces oracle trust assumptions","✔ On-chain readable ✔ Protocol-enforceable ✔ Compliance-anchored"
