"Entity","Maintaining Organization","Website","Founded Year","Primary Region / Geography Served","Primary Jurisdiction(s)","Primary Function","Local Problem Addressed","Target User Segment","Ethereum Role in Stack","Is Ethereum Abstracted from End Users?","Supported Ethereum Networks","Settlement Asset Types","Primary Settlement Currency","Local Currency Support","FX Model","Key Payment Corridors","Regulatory Posture","KYC / AML Enforcement Level","Custody Model","Transaction Scale","Availability Expectations","Primary Dependency Risks","Failure Mode","Interaction with Global On-Ramps","Interaction with Institutional Payment Rails","Interaction with DeFi","Geographic Scope","Regional Adoption Level","Systemic Importance to Ethereum (Regional)","Description","Reason for Inclusion","Practitioner’s Note","Practitioner Validation Check","Regional Constraint Type","Settlement vs Access Orientation","Ethereum Dependency Level"
"Hubpay","Hubpay (regional fintech operator; operating entity varies by jurisdiction)","https://www.hubpay.ae","2018","Middle East & North Africa (UAE core; GCC-first expansion)","United Arab Emirates (with corridor partnerships across MENA)","Regional cross-border payments and remittances","High remittance costs, corridor friction for expatriate flows, limited interoperability across MENA banking systems","Consumers, expatriate workers, SMBs","Anchored / optional settlement layer (stablecoin settlement for cross-border legs)","Yes (consumer app and agent interfaces abstract blockchain interaction)","Ethereum Mainnet (primary for stablecoin settlement); L2s evaluated for cost efficiency","Stablecoins (USDC, USDT)","USD stablecoins","Yes (AED and corridor currencies via banking and remittance rails)","Hybrid (offchain FX + onchain stablecoin settlement for international legs)","GCC ↔ South Asia; GCC ↔ MENA; intra-GCC","Locally licensed payments/remittance provider","Full (UAE-compliant, corridor-specific)","Platform custody for settlement flows; partner custody for stablecoin treasury","Low- to mid-value / high-frequency","Payments-grade","Regulatory approvals, banking partners, stablecoin liquidity","Corridor suspension; stablecoin settlement disabled; fallback to fiat rails","Indirect (bank transfers and remittance partners)","Indirect (stablecoin issuers, custody partners)","None (payments-only, compliance-constrained)","Multi-country region (MENA)","Medium","Medium","Hubpay operates a MENA-focused payment and remittance network that uses Ethereum-based stablecoins selectively to improve cross-border settlement efficiency for high-volume expatriate corridors, while abstracting blockchain complexity from end users.","Hubpay qualifies as a Regional Payment Network because its product is structurally constrained to MENA corridors and uses Ethereum-linked stablecoin settlement to address remittance cost and FX inefficiencies.","Hubpay is corridor-first infrastructure: Ethereum’s role is pragmatic—lowering settlement cost and latency—rather than ideological or DeFi-driven.","Is geographic focus a hard design constraint of the payment network, and does Ethereum materially enable settlement within that region? Yes","Remittance corridors / FX friction","Settlement-Enabled (Access-First UX)","Important (beneficial for cross-border settlement, not exclusive)"
"eFinance","eFinance Investment Group","https://www.efinanceinvestment.com","2005","Middle East & North Africa (Egypt core)","Egypt","Government-linked digital payments and settlement infrastructure","Cash-heavy economy, fragmented government payments, limited interoperability across public-sector systems","Government agencies, public institutions, enterprises","Anchored / pilot settlement layer (tokenized payments and interoperability experiments)","Yes (government and enterprise systems fully abstract blockchain interaction)","Ethereum Mainnet (pilot/research usage); Ethereum-compatible private networks","Tokenized payment instruments; stablecoins (evaluated/pilot-stage)","Local currency representations (EGP) with USD-linked instruments in pilots","Yes (EGP via government and banking rails)","Offchain FX with onchain settlement anchoring (pilot-stage)","Domestic Egypt; government-to-business and government-to-citizen flows","Government-linked / state-aligned digital payments provider","Institutional-grade (state and banking standards)","Government- and institution-managed custody (no consumer custody)","High-value / high-volume (public-sector payments)","Government / payments-grade","Government policy direction, regulatory approvals, technology adoption cycles","Pilot discontinuation; reversion to legacy payment systems","None","Direct (banking partners, settlement infrastructure)","None","Single-country (Egypt)","Medium–High (domestic); Early (blockchain settlement)","Low–Medium","eFinance is Egypt’s government-linked digital payments infrastructure provider, supporting large-scale public-sector payment flows and exploring blockchain-based settlement, including Ethereum-linked pilots, to improve transparency and interoperability.","eFinance qualifies as a Regional Payment Network because it is structurally constrained to Egypt and is piloting Ethereum-linked settlement mechanisms for domestic, institutional payment flows within a government-controlled context.","eFinance is sovereign-infrastructure-first: Ethereum’s relevance lies in auditability and interoperability potential, not open composability or retail payments.","Is geographic focus a hard design constraint of the payment network, and does Ethereum materially enable settlement within that region? Yes (pilot / state-linked context)","Government payment fragmentation / Cash dependence","Settlement-First (Institutional)","Replaceable (Ethereum improves transparency but is not foundational)"
"Bitybank","Bitybank (operating entity varies by jurisdiction)","https://bitybank.com","2021","Middle East & North Africa (GCC-first; selective MENA expansion)","United Arab Emirates (with corridor partnerships across MENA)","Regional crypto-enabled payments, treasury, and remittance settlement","Limited regional interoperability, FX friction across MENA corridors, constrained USD access for SMEs","Consumers, SMBs, regional merchants, freelancers","Native / anchored settlement layer (stablecoin settlement and treasury routing)","Yes (app and dashboard UX abstracts blockchain operations)","Ethereum Mainnet (primary); selective L2 exploration for cost optimization","Stablecoins (USDC, USDT)","USD stablecoins","Yes (AED and corridor currencies via banking and remittance rails)","Hybrid (offchain FX + onchain stablecoin settlement for cross-border legs)","GCC ↔ MENA; GCC ↔ South Asia","Locally compliant fintech; crypto features jurisdiction-gated","Tiered (risk-based verification aligned to UAE standards)","Platform custody for payments; partner custody for stablecoin treasury","Low- to mid-value / high-frequency","Payments-grade","Regulatory approvals, banking partners, stablecoin liquidity","Corridor throttling; crypto features disabled; fallback to fiat rails","Indirect (bank transfers and regional partners)","Indirect (stablecoin issuers and custody partners)","None (payments-focused, compliance-constrained)","Multi-country region (MENA)","Early–Medium","Medium","Bitybank operates a MENA-focused crypto payments and settlement network that uses Ethereum-based stablecoins to support regional remittances, SME payments, and treasury flows while abstracting blockchain complexity from end users.","Bitybank qualifies as a Regional Payment Network because its product is structurally constrained to MENA corridors and relies on Ethereum stablecoin settlement to address FX inefficiency and regional banking fragmentation.","Bitybank is SME- and corridor-oriented: Ethereum’s value is pragmatic—neutral USD settlement across fragmented MENA rails—rather than retail crypto speculation or DeFi access.","Is geographic focus a hard design constraint of the payment network, and does Ethereum materially enable settlement within that region? Yes","FX fragmentation / Corridor banking","Settlement-Enabled (Access-First UX)","Important (material for cross-border settlement, not exclusive)"
"Xendit","Xendit Pte. Ltd.","https://www.xendit.co","2015","Southeast Asia (Indonesia core; Philippines, Vietnam, Thailand, Malaysia)","Singapore (HQ); operating licenses across SEA","Regional payment processing and merchant settlement","Fragmented domestic payment methods, FX inefficiency across SEA, slow cross-border settlement","Merchants, SMBs, platforms, regional fintechs","Anchored / optional settlement layer (stablecoin settlement pilots for cross-border treasury)","Yes (merchant APIs and dashboards fully abstract blockchain interaction)","Ethereum Mainnet (pilot usage); selective Ethereum L2 evaluation","Stablecoins (USDC primary in pilots)","USD stablecoins (pilot / optional)","Yes (IDR, PHP, THB, MYR, VND via domestic rails)","Hybrid (offchain FX + optional onchain stablecoin settlement)","Intra-SEA; SEA ↔ Global merchant settlement","Locally licensed payments provider; crypto usage jurisdiction-gated","Full (merchant-grade compliance)","Platform-managed settlement flows; partner custody for stablecoin treasury","High-volume merchant payments; pilot-scale stablecoin settlement","Payments-grade","Regulatory clarity on crypto payments, banking partners, stablecoin issuer support","Stablecoin settlement disabled; fallback to fiat correspondent rails","Indirect (merchant funding and payout channels)","Indirect (stablecoin issuers, custody and settlement partners)","None (payments-only, compliance-constrained)","Multi-country region (Southeast Asia)","High (payments), Early (stablecoin settlement)","Medium","Xendit is a leading Southeast Asian payments processor that enables merchants and platforms to accept and settle payments across fragmented domestic rails, with selective exploration of Ethereum-based stablecoin settlement to improve cross-border treasury efficiency.","Xendit qualifies as a Regional Payment Network because it is structurally constrained to Southeast Asia and is piloting Ethereum-based stablecoin settlement to address regional FX inefficiency and cross-border payment friction.","Xendit is merchant-first, crypto-optional: Ethereum is evaluated as a backend efficiency layer rather than a core product dependency, making adoption sensitive to regulatory clarity and cost savings.","Is geographic focus a hard design constraint of the payment network, and does Ethereum materially enable settlement within that region? Yes (pilot / optional usage)","Payment fragmentation / FX inefficiency","Settlement-Optional (Payments-First)","Replaceable (Ethereum improves efficiency but is not foundational)"
"Coins.ph","Coins.ph Technologies, Inc.","https://coins.ph","2014","Philippines","Philippines","Domestic payments, remittances, and digital asset settlement","High remittance dependence, fragmented domestic payments, limited access to USD-denominated value","Consumers, freelancers, merchants, remittance users","Native settlement layer (stablecoin storage and transfers)","Partial (users see crypto balances; onchain mechanics abstracted)","Ethereum Mainnet; selective L2 usage (cost-optimization dependent)","Stablecoins (USDC, USDT), crypto-native assets","USD stablecoins","Yes (PHP via banking and e-wallet rails)","Hybrid (offchain PHP ↔ USD conversion + onchain stablecoin settlement)","Philippines domestic; Philippines ↔ Global remittance corridors","Fully regulated virtual asset service provider (BSP-licensed)","Full (BSP-compliant)","Platform custody for consumer balances; limited self-custody options","Low- to mid-value / high-frequency","Payments-grade","Regulatory changes, banking/e-wallet partners, stablecoin liquidity","Crypto features restricted; fallback to PHP rails","Indirect (bank transfers, remittance partners)","Indirect (stablecoin issuers and custody partners)","None (payments-focused; compliance-constrained)","Single country (Philippines)","High","Medium","Coins.ph operates a Philippines-focused payments and remittance network that uses Ethereum-based stablecoins to enable domestic payments and international remittances, providing users access to USD-denominated value through regulated fintech infrastructure.","Coins.ph qualifies as a Regional Payment Network because it is structurally constrained to the Philippines and relies on Ethereum-based stablecoin settlement to address remittance costs, FX friction, and access to digital dollars.","Coins.ph is remittance-native infrastructure: Ethereum’s value is enabling efficient USD settlement into a PHP-centric economy rather than powering merchant or DeFi composability.","Is geographic focus a hard design constraint of the payment network, and does Ethereum materially enable settlement within that region? Yes","Remittance dependence / FX inefficiency","Access-First (Settlement-Enabled)","Important (material for remittances and USD access; not exclusive)"
"Tranglo","Tranglo Sdn. Bhd.","https://www.tranglo.com","2008","Southeast Asia (Malaysia core; Philippines, Indonesia, Thailand, Vietnam) with Asia-wide corridors","Malaysia","Regional remittance and cross-border payment settlement network","High remittance costs, slow cross-border settlement, fragmented banking interoperability across Asia","Banks, money service businesses (MSBs), remittance providers, fintechs","Anchored / optional settlement layer (stablecoin-based settlement pilots for cross-border flows)","Yes (B2B APIs fully abstract blockchain interaction)","Ethereum Mainnet (pilot and selective production usage); L2s evaluated for cost efficiency","Stablecoins (USDC primary in pilots)","USD stablecoins (pilot / optional)","Yes (MYR, PHP, IDR, THB, VND via partner banks and MSBs)","Hybrid (offchain FX + optional onchain stablecoin settlement)","Asia ↔ Asia; Asia ↔ Global remittance corridors","Licensed remittance and payments provider (bank- and MSB-integrated)","Institutional-grade (partner bank and MSB enforced)","Partner-managed custody; no consumer custody","High-value / high-volume (B2B remittance settlement)","Payments-grade","Bank/MSB adoption, regulatory treatment of stablecoin settlement, corridor liquidity","Stablecoin settlement disabled; reversion to correspondent banking","Indirect (via partner banks and remittance providers)","Direct (banks, stablecoin issuers, custody and settlement partners)","None (payments-only, compliance-constrained)","Multi-country region (Southeast & East Asia)","High (legacy remittance network); Early (stablecoin settlement)","Medium","Tranglo operates a long-standing Asian remittance and payment network that connects banks and MSBs across Southeast Asia, with selective exploration of Ethereum-based stablecoin settlement to reduce cost and latency in cross-border flows.","Tranglo qualifies as a Regional Payment Network because it is structurally constrained to Asian remittance corridors and is piloting Ethereum-linked stablecoin settlement to improve cross-border payment efficiency.","Tranglo is institutional remittance infrastructure: Ethereum’s role is incremental—lowering cost and complexity—rather than transformative or consumer-facing.","Is geographic focus a hard design constraint of the payment network, and does Ethereum materially enable settlement within that region? Yes (pilot / corridor-specific)","Remittance corridors / Banking interoperability","Settlement-First (B2B)","Replaceable (Ethereum improves settlement efficiency but is not foundational)"
"GCash","G-Xchange, Inc. (GCash)","https://www.gcash.com","","Philippines","Philippines","Domestic mobile payments, e-wallet services, and bill payments","Cash dependence, fragmented domestic payments, limited access to formal banking","Consumers, merchants, MSMEs","Anchored / indirect settlement layer (stablecoin rails via partners, pilots)","Yes (users never interact with blockchain directly)","Ethereum Mainnet (partner-dependent, pilot / indirect usage)","Stablecoins (USDC/USDT via partners; not user-facing)","PHP (domestic); USD stablecoins for cross-border partner settlement","Yes (PHP-native)","Offchain FX for consumer flows; onchain stablecoin settlement in backend corridors","Domestic Philippines; Philippines ↔ global remittance corridors (via partners)","Fully regulated e-money issuer (BSP-licensed)","Full (BSP-compliant, tiered limits)","Centralized platform custody (e-money model)","Low-value / very high-frequency","Consumer-grade, high-availability","Regulatory constraints, partner banks/remittance providers","Reversion to fiat-only settlement; crypto rails disabled","Indirect (remittance and payment partners)","Indirect (bank and remittance settlement partners)","None","Single country (Philippines)","Very High","Low–Medium","GCash is the Philippines’ dominant mobile payments platform, enabling domestic payments and financial services at massive scale. While users do not access crypto directly, Ethereum-based stablecoins may be used indirectly in backend settlement through remittance and payment partners.","GCash qualifies as a Regional Payment Network because it is structurally constrained to the Philippines and, through partners, touches Ethereum-based settlement rails for cross-border and remittance flows—even though blockchain is fully abstracted from users.","GCash is distribution without protocol visibility: Ethereum matters only if embedded in partner settlement layers; adoption is policy- and partner-driven rather than product-driven.","Is geographic focus a hard design constraint, and does Ethereum materially enable settlement somewhere in the payment stack? Yes (indirect / partner-mediated)","Domestic payment fragmentation / Banking access","Access-First (Settlement-Abstracted)","Minimal–Replaceable (Ethereum optional and invisible)"
"Monerium","Monerium ehf.","https://monerium.com","2016","Europe (EEA)","Iceland (EEA passported)","Onchain fiat payments and settlement via regulated e-money","Fragmented European payments, limited programmability of bank money, lack of compliant onchain euros","Fintechs, enterprises, DAOs, Web3-native organizations","Native settlement layer (e-money issued directly on Ethereum)","No (onchain balances are first-class monetary objects)","Ethereum Mainnet; Ethereum L2s (e.g., Optimism, Arbitrum)","Regulated e-money tokens (EURe, GBPe, ISKe)","EUR (EURe)","Yes (EUR, GBP, ISK)","Onchain settlement with offchain banking rails for redemption; FX external","Intra-EEA; onchain ↔ SEPA bank accounts","Fully regulated E-Money Institution (EMI)","Full (EEA-grade compliance)","Non-custodial onchain balances; regulated redemption accounts","Low- to high-value (enterprise and treasury flows)","Payments- and banking-grade","Banking partners, regulatory changes to EMI frameworks","Issuance paused; redemption restricted; fallback to SEPA rails","Direct (bank account integration)","Direct (banking system ↔ Ethereum settlement)","Limited / gated (regulatory constraints)","Multi-country region (Europe / EEA)","Medium","High","Monerium issues fully regulated e-money directly on Ethereum, enabling onchain euro, pound, and krona balances that can move natively on public blockchains while remaining redeemable 1:1 into the European banking system.","Monerium qualifies as a Regional Payment Network because it is structurally constrained to Europe by regulation and uses Ethereum as the primary settlement layer for compliant fiat payments, not merely as a backend optimization.","Monerium is Europe’s cleanest fiat–Ethereum bridge: unlike stablecoins, money is issued as e-money onchain, making Ethereum part of the regulated monetary perimeter.","Is the payment network regionally constrained by regulation, and does Ethereum serve as the authoritative settlement layer for fiat-denominated value? Yes","Regulatory perimeter / Banking integration","Settlement-First","Critical (Ethereum is the monetary rail, not optional)"
"Quantoz","Quantoz Payments B.V.","https://www.quantoz.com","2015","Europe (Eurozone / EEA)","Netherlands (EEA passporting)","Regulated euro-denominated digital money and settlement","Lack of compliant, programmable euro-denominated digital settlement instruments","Fintechs, enterprises, Web3 platforms, institutional users","Native settlement layer (regulated euro tokens issued on Ethereum)","No (onchain balances are first-class monetary objects)","Ethereum Mainnet; Ethereum L2s (deployment-dependent)","Regulated euro-denominated tokens (e.g., EURD, EURQ variants depending on issuance program)","EUR","EUR","Onchain euro settlement; FX handled externally via banking partners","Intra-EEA; onchain ↔ SEPA bank accounts","Regulated E-Money Institution (EMI) / compliant under EU frameworks","Full (EEA-grade compliance)","Onchain balances with regulated redemption accounts; non-custodial at protocol level","Medium- to high-value (enterprise and treasury settlement)","Payments- and banking-grade","Banking partners, regulatory interpretation of e-money onchain","Issuance paused; redemption constrained; fallback to SEPA","Direct (bank account funding and redemption)","Direct (banking system ↔ Ethereum settlement)","Limited / permissioned (regulatory gating)","Multi-country region (Europe / EEA)","Early","High","Quantoz provides regulated euro-denominated digital money infrastructure, issuing compliant euro tokens on public blockchains like Ethereum to enable programmable, onchain settlement fully integrated with the European banking system.","Quantoz qualifies as a Regional Payment Network because it is structurally constrained to Europe by regulation and uses Ethereum as the authoritative settlement layer for euro-denominated digital money rather than as a secondary optimization layer.","Quantoz represents EU-native programmable money: closer to onchain bank money than private stablecoins, with Ethereum functioning as regulated settlement infrastructure.","Is the network regionally constrained by EU regulation, and does Ethereum directly host the fiat-denominated settlement asset? Yes","Regulatory perimeter / Eurozone banking integration","Settlement-First","Critical (Ethereum is the monetary rail, not optional)"
"Stasis","STASIS Ltd.","https://stasis.net","2018","Europe (EEA-focused)","Malta / EU-facing operations","Euro-denominated digital settlement via fiat-backed stablecoins","Lack of euro-native digital settlement assets usable across blockchain and fintech rails","Crypto-native users, fintechs, enterprises, exchanges","Native settlement layer (EUR-backed tokens issued on Ethereum)","No (onchain balances are the monetary object)","Ethereum Mainnet; selective Ethereum L2 support","Fiat-backed stablecoins (EURS)","EUR","EUR","Onchain euro settlement; FX handled externally","Intra-Europe; onchain ↔ EU banking rails","EU-compliant structure; operates within evolving EU stablecoin frameworks","Full (issuer- and partner-enforced)","Onchain token custody; offchain fiat reserves held with regulated partners","Medium (trading, settlement, treasury use cases)","Payments- and settlement-grade","Regulatory interpretation (MiCA), banking partners, reserve transparency","Issuance or redemption halted; fallback to banking rails","Indirect (exchanges, fintech partners)","Indirect (banking and custody partners)","Limited (select integrations; compliance-constrained)","Multi-country region (Europe)","Medium","Medium–High","Stasis issues EURS, a euro-denominated stablecoin backed by offchain fiat reserves, enabling euro settlement on Ethereum while integrating with European banking infrastructure for issuance and redemption.","Stasis qualifies as a Regional Payment Network because it is structurally focused on Europe and uses Ethereum as the settlement layer for euro-denominated value, bridging EU banking rails with onchain payments.","Stasis sits between private stablecoins and regulated e-money: Ethereum is the settlement rail, but regulatory durability depends on MiCA alignment and reserve governance.","Is the network regionally constrained to Europe and does Ethereum directly host the euro-denominated settlement asset? Yes","Eurozone regulation / Banking integration","Settlement-First","Critical (Ethereum hosts the euro-denominated asset)"
"MoneyGram","MoneyGram International, Inc.","https://www.moneygram.com","1940","United States (origin market) with global regional corridors","United States","Retail remittances and cross-border money transfer","High cost and latency of international remittances, cash-to-digital interoperability","Consumers, migrant workers, remittance recipients","Anchored / optional settlement layer (stablecoin settlement for cross-border liquidity)","Yes (retail users interact with cash and fiat rails only)","Ethereum Mainnet (USDC settlement via partners)","Stablecoins (USDC)","USD","Yes (multi-currency via global payout network)","Hybrid (offchain FX + onchain stablecoin settlement between hubs)","U.S. ↔ Latin America; U.S. ↔ Africa; U.S. ↔ Asia","Highly regulated money services business (MSB)","Full (global MSB and corridor-specific compliance)","Institutional custody via partners (e.g., Circle, custodians)","Low-value / extremely high-frequency","Consumer-grade, cash-reliant uptime","Regulatory treatment of stablecoins, banking and cash-agent network","Reversion to correspondent banking and pre-funded nostro/vostro accounts","Indirect (bank funding, cash locations)","Direct (stablecoin issuers, custody and settlement partners)","None","Multi-region (U.S.-origin with regional payout specialization)","Very High","Medium","MoneyGram is one of the world’s largest remittance networks. Through integrations with stablecoin issuers such as Circle, it has used Ethereum-based USDC settlement to optimize cross-border liquidity and reduce pre-funding requirements, while keeping blockchain fully abstracted from consumers.","MoneyGram qualifies as a Regional Payment Network because it is structurally anchored in U.S.-origin remittance corridors and uses Ethereum-based stablecoin settlement as backend infrastructure for regional cross-border flows.","MoneyGram is legacy distribution + modern settlement: Ethereum’s value is operational—liquidity efficiency and faster hub-to-hub settlement—rather than product-level differentiation.","Is geographic focus a hard constraint of the remittance network, and does Ethereum materially improve settlement efficiency even if users never see it? Yes","Remittance corridors / Liquidity pre-funding","Settlement-Enabled (Access-First UX)","Important (improves liquidity efficiency but replaceable)"
"Strike","Zap Solutions, Inc. (Strike)","https://strike.me","2020","United States (with selective international corridors)","United States","Consumer and merchant payments with instant settlement","Slow bank settlement, high card fees, expensive cross-border payments","Consumers, merchants, SMBs","Indirect / optional settlement layer (stablecoin treasury and USD liquidity routing)","Yes (users never interact with blockchain directly)","Ethereum Mainnet (treasury and settlement legs, non-user-facing)","USD stablecoins (USDC/USDT in treasury and cross-border routing contexts)","USD","USD (domestic); foreign currencies via corridors","Hybrid (offchain USD rails + onchain stablecoin routing for international legs)","U.S. domestic; U.S. ↔ Latin America (select corridors)","U.S.-regulated money services business (MSB)","Full (U.S. MSB standards)","Platform-managed custody (no user onchain custody)","Low-value / very high-frequency (consumer payments)","Consumer-grade, near-instant","Banking partners, regulatory treatment of crypto settlement, stablecoin access","Reversion to fiat-only settlement rails","Indirect (bank account funding)","Indirect (stablecoin issuers, banking partners)","None","Single country (United States)","Medium","Low–Medium","Strike is a U.S.-focused payments application enabling instant consumer and merchant payments. While users transact in dollars, the platform can leverage blockchain-based liquidity and stablecoin rails in backend settlement to reduce cost and latency.","Strike qualifies as a Regional Payment Network because it is structurally constrained to the U.S. payments market and uses blockchain-based settlement infrastructure—including Ethereum-linked stablecoins—indirectly to improve payment efficiency.","Strike is UX-first payments infrastructure: Ethereum, when used, operates as invisible settlement plumbing rather than a user-facing monetary rail.","Is geographic focus a hard design constraint and does Ethereum materially contribute somewhere in the settlement stack, even if abstracted? Yes (indirect usage)","Card network fees / Bank settlement latency","Access-First (Settlement-Abstracted)","Replaceable (Ethereum optional and non-core)"
