"Entity","Maintaining Organization","Entity Type","RWA Archetype","Website","Year Launched","Jurisdiction(s)","Asset Class","Asset Issuer","Legal Structure","Jurisdiction of Legal Enforceability","Redemption Rights","Investor Rights Representation","Ethereum Role","Token Standard Used","On-Chain Lifecycle Events","Bidirectional Sync Mechanism","Final Source of Truth","KYC / AML Enforcement","Transfer Restrictions","Permissioning Model","Identity Provider Dependency","Who Pays Fees","Fee Model","Cash Flow Handling","Custodian(s)","Key Trusted Parties","Primary Risk Factors","Dispute Resolution Mechanism","Censorship / Freeze Risk","Primary Customers","Composable With DeFi","Scalability Constraints","Defensibility Source","Sector Adjacency Risk","Description","Reason for Inclusion","Practitioner’s Note","Practitioner Validation Check"
"Notabene","Notabene, Inc.","Company","Compliance Messaging Infrastructure","https://notabene.id","2020","Global","RWAs (travel rule, identity data)","RWA issuers & VASPs","Compliance messaging layer","Issuer jurisdiction","N/A","Indirect (identity + compliance context)","Compliance Coordination","N/A","Transfer compliance messaging","Off-chain messaging synced with on-chain txs","Off-chain compliance systems","Yes","Indirect","Permissioned network","Yes","Issuers / VASPs","SaaS fees","N/A","N/A","Issuers, custodians","Regulatory fragmentation","Regulatory","Medium","Institutions, VASPs","No","Network adoption","Regulatory alignment","Medium","Travel-rule and compliance messaging for RWA flows","Required for regulated RWA transfer compliance","Enables cross-entity compliance coordination","✔ Supports enforceable RWA transfers"
"Sumsub (RWA onboarding context)","Sumsub Ltd.","Company","Identity & Onboarding Infrastructure","https://sumsub.com","2015","Global","RWAs (investor onboarding)","RWA issuers","Identity verification contracts","Issuer jurisdiction","N/A","Indirect (eligibility gating)","Permissioning; Access Control","N/A","Whitelisting; onboarding approval","Off-chain identity checks synced with on-chain allowlists","Off-chain identity systems","Yes","Yes","Permissioned (issuer-controlled)","Yes","Issuers","Per-verification fees","N/A","N/A","Issuers, compliance providers","Identity fraud; jurisdictional rules","Legal","High","Issuers, platforms","No","Onboarding throughput","Global coverage; compliance depth","Medium","KYC/AML onboarding for RWA investors","Enables permissioned access to RWA tokens","Must be tied to on-chain allowlists","✔ Identity gates RWA participation"
"Centrifuge","Centrifuge Foundation","Protocol / DAO","Institutional RWA Rails & Credit Infrastructure","https://centrifuge.io","2017","Global (EU-anchored)","Private Credit, Receivables, Structured Credit","Asset originators (funds, lenders)","SPV / trust structures","Asset-specific (often EU / US)","Yes (principal & interest via SPV)","Tokenized claims on cash-flow-generating assets","Settlement; Collateral Registry; Lifecycle Enforcement","ERC-20 (Tinlake pools, permissioned)","Issuance, collateral onboarding, cash-flow distribution","On-chain pool state synced with off-chain SPV accounting","Off-chain legal SPVs","Yes","Yes (investor & pool-specific)","Permissioned pools","Yes","Borrowers / investors","Origination & servicing fees","Off-chain SPV cash flows bridged to on-chain tokens","Regulated trustees & custodians","Asset originators, trustees","Credit risk; originator failure","Legal / contractual","Medium","Asset originators, institutional investors","Limited (permissioned DeFi)","Legal structuring per asset","First-mover credit rails; institutional trust","Medium","Credit-native RWA rails connecting real-world cash flows to Ethereum","Directly synchronizes off-chain credit assets with Ethereum settlement","Canonical example of credit RWAs","✔ Off-chain asset ✔ Ethereum enforces settlement ✔ Legal SPV exists"
"Monerium","Monerium EMI hf.","Regulated Financial Institution","Institutional Settlement Rails (Fiat RWAs)","https://monerium.com","2017","EEA (Iceland, EU)","Fiat (EUR, ISK)","Monerium (licensed EMI)","Electronic money issuance","EU / EEA","Yes (1:1 redemption)","Tokenized claim on regulated electronic money","Settlement; Payment Rails; Redemption Enforcement","ERC-20 (EURe, ISKe)","Issuance, transfers, redemption","On-chain balances reconciled with banking systems","Off-chain regulated bank accounts","Yes","Yes (account-based)","Permissioned (regulated accounts)","Yes","Users / institutions","Account & transaction fees","Off-chain fiat settlement","Licensed banks","Regulators, banks","Regulatory dependency; account freezes","Regulatory / legal","High","Enterprises, DAOs, institutions","Yes (permissioned DeFi)","Banking rails throughput","Regulatory licenses; bank integrations","Medium","Regulated on-chain fiat settlement infrastructure","Brings sovereign money into Ethereum with legal backing","Best example of fiat as an RWA, not a stablecoin","✔ Fiat exists off-chain ✔ Ethereum settles ownership ✔ Regulated issuer"
"Maple Finance (issuer-integrated RWAs only)","Maple Labs","Protocol / DAO","Institutional Credit Rails (Issuer-Integrated)","https://maple.finance","2021","Global (issuer-specific)","Private Credit, Institutional Loans","Approved institutional borrowers","Borrower SPVs / legal loan agreements","Borrower jurisdiction","Yes (loan repayment terms)","Tokenized claims on borrower credit","Settlement; Loan Lifecycle Enforcement","ERC-20 (pool tokens, permissioned)","Loan origination, interest accrual, repayments, defaults","On-chain pool state reconciled with off-chain loan contracts","Off-chain legal loan agreements","Yes","Yes (pool-level permissioning)","Permissioned pools","Yes","Borrowers / lenders","Origination & servicing fees","Off-chain borrower payments bridged on-chain","Trustees / administrators (deal-specific)","Borrowers, pool delegates","Credit risk; borrower default","Legal / contractual","Medium","Institutional borrowers & lenders","Limited (permissioned only)","Credit underwriting per borrower","Institutional relationships; underwriting","Medium","Institutional credit marketplace with on-chain settlement","Issuer-integrated credit with enforceable off-chain loan contracts","Exclude permissionless DeFi pools; include only borrower-vetted credit","✔ Off-chain loan exists ✔ Ethereum enforces lifecycle"
"Clearpool (issuer-side only)","Clearpool Group","Protocol / DAO","Institutional Credit Issuance (Issuer-Side)","https://clearpool.finance","2022","Global (issuer-specific)","Private Credit","Whitelisted institutional borrowers","Legal loan agreements","Borrower jurisdiction","Yes","Tokenized lender claims on borrower pools","Settlement; Interest Distribution","ERC-20 (pool tokens)","Pool creation, interest accrual, repayments","On-chain pool accounting synced with off-chain borrower obligations","Off-chain legal loan agreements","Yes","Yes","Permissioned borrower pools","Yes","Borrowers","Borrowing fees","Off-chain borrower repayments","Borrower-appointed custodians","Borrowers, risk assessors","Credit risk; oracle reliance","Legal / contractual","Medium","Institutional borrowers","Limited","Risk assessment scalability","Borrower network; transparency","High","Issuer-side on-chain credit pools for institutions","Included only where borrower identity & legal obligation exist","Borderline with DeFi — issuer vetting is key","✔ Legal borrower ✔ Ethereum settles claims"
"Franklin Templeton Benji","Franklin Templeton","Regulated Asset Manager","Vertical-Specific RWA Platform (Treasuries / MMF)","https://www.franklintempleton.com/benji","2021","United States","U.S. Treasuries, Money Market Instruments","Franklin Templeton–managed funds","Regulated money market fund","United States","Yes (fund redemption rules)","Tokenized fund shares representing beneficial ownership","Ownership Registry; NAV & Settlement Reference","ERC-20 (permissioned)","Issuance, transfers, NAV updates, redemptions","On-chain balances reconciled with fund admin & transfer agent records","Off-chain regulated fund","Yes","Yes (investor eligibility & jurisdiction)","Permissioned (issuer-controlled)","Yes","Investors","Management fees","Off-chain fund cash flows","Regulated custodians & transfer agents","Fund administrator, custodian, regulators","Regulatory changes; fund admin risk","Legal / regulatory","High","Institutions, enterprises, accredited investors","Limited (permissioned only)","Investor onboarding & transfer limits","Brand trust; regulatory approval","Medium","Tokenized access to regulated money market funds","Direct issuance of regulated treasury funds with Ethereum-based ownership","One of the earliest regulated treasury RWAs on Ethereum","✔ Off-chain fund ✔ Ethereum reflects ownership ✔ Legal authority external"
"BlackRock BUIDL","BlackRock (via Securitize)","Regulated Asset Manager","Vertical-Specific RWA Platform (Treasuries)","https://www.blackrock.com","2024","United States","U.S. Treasuries, Cash & Repo","BlackRock-managed fund","Regulated investment fund","United States","Yes (fund redemption rules)","Tokenized beneficial ownership of fund shares","Ownership Registry; Settlement; Corporate Actions","ERC-20 (permissioned)","Issuance, transfers, yield accrual, redemptions","On-chain token state reconciled with fund accounting & transfer agent","Off-chain regulated fund","Yes","Yes (qualified investor restrictions)","Permissioned (issuer & transfer agent)","Yes","Investors","Management & servicing fees","Off-chain fund cash flows","Regulated custodians","BlackRock, transfer agent, regulators","Regulatory dependency; issuer concentration","Legal / regulatory","High","Institutions, large allocators, on-chain treasuries","Limited (permissioned DeFi rails)","Investor eligibility & scale","Institutional scale; regulatory moat","Medium","Institutional-grade tokenized treasury fund issued by the world’s largest asset manager","Brings sovereign fixed income directly on-chain with legal enforceability","Sets the institutional benchmark for treasury RWAs","✔ Off-chain asset ✔ Ethereum settles ownership ✔ Regulated issuer"
"RealT","RealT LLC","Company","Vertical-Specific RWA Platform (Real Estate Income)","https://realt.co","2019","United States","Residential real estate","Property-specific SPVs","LLC per property","United States","Yes (property sale / wind-down)","Tokenized beneficial ownership of rental income and equity","Ownership Registry; Cash-Flow Distribution","ERC-20 (permissioned)","Issuance, transfers, rental income distribution","On-chain token balances reconciled with SPV accounting","Off-chain legal SPV ownership","Yes","Yes (jurisdictional & investor eligibility)","Permissioned","Yes","Investors","Platform & servicing fees","Off-chain rental income bridged on-chain","Property managers / trustees","Property managers, SPVs","Property risk; regulatory scrutiny","Legal / contractual","High","Retail & crypto-native investors","Limited","Property-by-property onboarding","Asset-level transparency","Medium","Fractionalized ownership of income-producing U.S. real estate","Direct link between off-chain property SPVs and on-chain ownership","Income-bearing RWA, not just title tokenization","✔ Property exists off-chain ✔ Ethereum reflects ownership & income"
"Propy","Propy Inc.","Company","Vertical-Specific RWA Platform (Property Transfer & Title)","https://propy.com","2017","United States; Global pilots","Real estate (residential & commercial)","Property sellers / buyers","Property deeds & title records","Property jurisdiction","Yes (title transfer)","Tokenized representation of property ownership & transfer","Ownership Registry; Transaction Settlement","ERC-721 / custom deed tokens","Property sale, title transfer","On-chain transaction synced with off-chain title registries","Off-chain legal title","Yes","Yes","Permissioned per transaction","Yes","Buyers / sellers","Transaction & platform fees","N/A","Escrow & title agents","Title registrars, escrow agents","Jurisdictional recognition","Legal","High","Property buyers, sellers, registrars","No","Jurisdiction-specific title systems","Regulatory integration","Medium","Platform enabling blockchain-based property conveyance","Ethereum records property transactions with legal recognition","Focused on ownership transfer, not fractional income","✔ Legal title off-chain ✔ Ethereum records & enforces transfer"
"Toucan Protocol","Toucan Foundation","Protocol / DAO","Vertical-Specific RWA Platform (Carbon Credits)","https://toucan.earth","2021","Global (credit-origin dependent)","Carbon credits (VCCs)","Verra-registered project developers","Registry-issued carbon credits bridged into on-chain tokens","Credit registry jurisdiction","Yes (retirement / redemption)","Tokenized claim on verified off-chain carbon credits","Ownership Registry; Retirement Enforcement","ERC-20 (e.g., TCO2, BCT)","Bridging, transfers, retirement","On-chain tokens mapped 1:1 to registry-listed credits","Off-chain carbon registries (e.g., Verra)","Limited / Contextual","No (generally permissionless)","Open","No","Users / protocols","Bridging & protocol fees","N/A","Environmental registries","Credit registries, auditors","Credit quality; double-counting risk","Registry-based dispute processes","Medium","DAOs, corporates, climate markets","Yes","Registry throughput & governance","Registry integrations","High","Protocol bridging real-world carbon credits onto Ethereum","Directly maps verified off-chain credits to on-chain tokens","Quality depends on registry integrity, not DeFi mechanics","✔ Off-chain credit ✔ Ethereum enforces ownership & retirement"
"KlimaDAO","KlimaDAO","DAO","Vertical-Specific RWA Platform (Carbon Market Infrastructure)","https://www.klimadao.finance","2021","Global","Carbon credits (off-chain anchored only)","Registry-issued carbon credits","Underlying registry credit structures","Registry jurisdiction","Yes (via retirement of credits)","Indirect claim via protocol-managed carbon pools","Settlement; Incentive Coordination","ERC-20 (e.g., KLIMA, pool tokens)","Acquisition, pooling, retirement","On-chain pool balances reconciled with registry credit retirement status","Off-chain carbon registries","No","No","Open","No","Users / protocol","Protocol incentives","N/A","Carbon registries / bridge custodians (context-dependent)","Carbon registries, bridge operators, auditors","Credit quality risk; double-counting risk; incentive distortion","Registry-based dispute processes","Medium","DAOs, carbon buyers, climate marketplaces","Yes","Liquidity depth; registry throughput; governance risk","Liquidity aggregation and incentive coordination","High","Liquidity and incentive layer for on-chain carbon markets built on registry-anchored credits","Included only where underlying credits are off-chain issued and retirement is reflected or enforced on-chain","KlimaDAO is not an issuer. It should be included only when pool tokens map to verifiable registry-backed credits and retirement semantics are preserved.","✔ Underlying credits exist in an off-chain registry ✔ On-chain pool accounting maps to those credits ✔ Token retirement corresponds to verifiable registry retirement (or equivalent enforcement)"
"Polymesh Association (Ethereum-connected deployments only)","Polymesh Association","Organization / Protocol","Asset Tokenization & Issuance Infrastructure","https://polymesh.network","2021","Global (issuer-dependent)","Regulated securities (equity, funds, debt)","Regulated issuers","Issuer SPVs, trusts, security token legal wrappers","Issuer jurisdiction (EU / US / other)","Yes (issuer-defined)","On-chain representation of legally enforceable security ownership and rights","Settlement Reference; Interop Anchor; Composability Layer","ERC-20 / permissioned security tokens (Ethereum side)","Issuance mirroring, transfer settlement, lifecycle anchoring","Cross-chain synchronization between Polymesh security state and Ethereum tokens","Off-chain legal records + Polymesh authoritative state","Yes","Yes (jurisdictional + investor eligibility)","Permissioned (issuer & compliance-controlled)","Yes (on-chain identity / KYC providers)","Issuers","Network fees + issuance fees","Off-chain via issuer / fund administrator","Regulated custodians / transfer agents","Issuers, compliance providers, bridge operators","Bridge risk; cross-chain state mismatch; regulatory fragmentation","Legal / contractual","Medium–High","Institutions issuing regulated securities","Limited (permissioned DeFi only)","Cross-chain complexity; compliance overhead","Purpose-built security-token infrastructure","High","Regulated security-token infrastructure with Ethereum interoperability","Included only where Ethereum is used for settlement reference, composability, or downstream integration","Treat Polymesh as authoritative security layer and Ethereum as an extension, not the other way around","✔ Asset exists off-chain ✔ Legal enforceability external ✔ Ethereum reflects or settles issuer-authorized state"
