"Entity","Maintaining Organization","Entity Type","Entity Archetype","Website","Jurisdiction / Authority","Program Classification","Pilot vs Production","One-Line Description","Primary Public-Sector Function","Target Participants","Ethereum Dependency","Ethereum Role","Ethereum Environment Used","Public vs Permissioned Design","Issuance Authority","Governance Model","Privacy Model","AML / KYC Layer","Interoperability With Legacy Systems","Key Partners","Compliance & Legal Status","Pilot Outcomes / Status","Production Readiness","Reason for Inclusion","Practitioner’s Note","Practitioner Validation Check"
"Project Dunbar","BIS Innovation Hub","Multinational Pilot","Multi-CBDC Settlement","https://www.bis.org/about/bisih/topics/cbdc/dunbar.htm","Multinational (CBs)","Cross-Border CBDC","Completed pilot","Multi-CBDC platform exploring cross-border settlement using Ethereum-compatible DLT","Cross-border CBDC settlement","Central banks","Medium–High","Settlement / Interop Layer","Ethereum-compatible stacks","Permissioned","Participating CBs","Consortium","Account-based","CB-level KYC","Designed for RTGS interop","MAS, RBA, SARB","Public-sector compliant","Demonstrated atomic settlement","Medium","Demonstrates Ethereum-style composability for CBs","Ethereum often abstracted","Did Ethereum provide consensus or messaging only?"
"European Central Bank — Ethereum pilot programs","European Central Bank (ECB)","Central Bank Program","Wholesale Settlement / Infrastructure","https://www.ecb.europa.eu","Eurozone (Central Bank)","Settlement infrastructure & CBDC exploration","Pilot","Exploratory pilots assessing DLT—including Ethereum-compatible stacks—for wholesale settlement and market infrastructure","Wholesale settlement modernization","Banks, FMIs","Medium","Settlement / Control Plane","Ethereum-compatible permissioned environments","Hybrid","Central bank","Centralized","Account-based","Bank-level KYC","Integration with TARGET services","Eurosystem NCBs, tech vendors","Regulator-led, compliant","Proofs-of-concept completed","Medium","Systemic relevance for EU wholesale markets","Ethereum often evaluated alongside other DLTs","Is Ethereum used for finality or orchestration only?"
"Monetary Authority of Singapore — Ethereum pilots","Monetary Authority of Singapore (MAS)","Central Bank Program","Tokenization & Settlement","https://www.mas.gov.sg","Singapore","Tokenization / Settlement","Ongoing pilots","Broad program of pilots using Ethereum to test tokenized assets, regulated DeFi, and settlement","Tokenized market settlement","Banks, asset managers","High","Settlement / Control Plane","Ethereum mainnet & L2s","Hybrid","Central bank / regulators","Consortium","Token-based + permissioned","Regulated KYC","Integrated with financial market infra","JPMorgan, DBS, tech firms","Regulator-led","Multiple successful pilots","Medium–High","Deepest sustained public-sector Ethereum usage","Public Ethereum used with guardrails","Are contracts deployed on public L1/L2?"
"Hong Kong Monetary Authority — Ethereum pilots","Hong Kong Monetary Authority (HKMA)","Central Bank Program","Tokenization & Green Finance","https://www.hkma.gov.hk","Hong Kong SAR","Tokenization / Settlement","Pilot → Early Production","Ethereum-based pilots for tokenized bonds and settlement under regulatory oversight","Public-sector issuance & settlement","Banks, investors","High","Issuance / Settlement","Ethereum mainnet & L2s","Hybrid","Government / central bank","Centralized","Token-based","Regulated KYC","Integration with CSDs & banks","Banks, tech vendors","Public-sector compliant","Tokenized bond issuance completed","Medium–High","One of the first government issuances on Ethereum","Focused on capital markets use cases","Is settlement finalized on Ethereum L1?"
"Swiss National Bank — Ethereum settlement pilots","Swiss National Bank (SNB)","Central Bank Program","Wholesale CBDC & DvP","https://www.snb.ch","Switzerland","CBDC / Securities Settlement","Pilot","Wholesale CBDC and DvP settlement pilots using Ethereum-based technology","Wholesale settlement & DvP","Banks, FMIs","High","Settlement Layer","Ethereum-based permissioned networks","Permissioned + anchored","Central bank","Consortium","Account-based","Bank-level KYC","Integrated with securities systems","BIS, SIX, BdF","Public-sector compliant","Successful settlement pilots","Medium","Clear Ethereum lineage in CB settlement","Often permissioned forks","Is public Ethereum used for anchoring?"
"Project iAM","European Commission / EU Member States","Public Infrastructure Program","Digital Identity & Credentials","https://digital-strategy.ec.europa.eu","European Union","Public Identity Infrastructure","Pilot → Early Production","EU digital identity initiative using Ethereum-compatible rails for verifiable credentials and cross-border services","Public digital identity & credentials","Citizens, public agencies","Medium","Audit / Control Plane","Ethereum-compatible permissioned layers","Permissioned","EU public authorities","Consortium (Member States)","Selective disclosure (VCs/DIDs)","Public-sector KYC","Integration with eIDAS & gov systems","EU MS, tech vendors","Public-sector compliant","Live pilots across MS","Medium","Demonstrates state identity on Ethereum-compatible infra","Identity anchored; not a retail CBDC","Are credentials anchored or merely interoperable with L1?"
"Hong Kong Government Tokenized Green Bonds","Government of Hong Kong SAR / HKMA","Government Issuance Program","Tokenized Sovereign Bonds","https://www.hkma.gov.hk","Hong Kong SAR","Public Debt Issuance","Production issuance","Government-issued green bonds tokenized and settled on Ethereum","Sovereign bond issuance & settlement","Banks, institutional investors","High","Issuance / Settlement","Ethereum mainnet","Hybrid (public settlement with controls)","Government / Treasury","Centralized","Token-based (permissioned investors)","Regulated KYC","Integration with banks & CSDs","Banks, custodians","Fully compliant","Successful issuances completed","High","Clear sovereign issuance on public Ethereum","Landmark public-sector production use","Is final settlement on Ethereum L1?"
"City of Lugano Plan ₿","City of Lugano (Switzerland)","Municipal Program","Public Payments & Services","https://www.lugano.ch","Municipal Government","Public Payments / Services","Pilot → Early Production","Municipal initiative enabling payments, incentives, and services using Ethereum-based infrastructure","Local public payments & services","Citizens, merchants","Medium","Payments / Control Plane","Ethereum mainnet & L2s","Hybrid","Municipality","Centralized (municipal)","Token-based","Local KYC / merchant onboarding","Integration with local payment rails","Tech partners","Local regulatory compliance","Active municipal pilots","Medium","Demonstrates city-level Ethereum adoption","Scale is local, not national","Are municipal balances settled on L1?"
"German Federal Government blockchain bond pilots","Federal Republic of Germany","Government Issuance Pilot","Sovereign Bond Tokenization","https://www.bundesfinanzministerium.de","Germany (Federal Government)","Public Debt Tokenization","Pilot","Federal blockchain bond pilots exploring Ethereum for issuance and settlement","Sovereign bond issuance","Banks, investors","High","Issuance / Settlement","Ethereum mainnet","Hybrid","Federal Treasury","Centralized","Token-based","Regulated KYC","Integration with banks & settlement systems","Banks, tech vendors","Public-sector compliant","Pilot bonds issued","Medium","National-level debt on Ethereum","Focused on capital markets","Is secondary trading on Ethereum permitted?"
"JPM Coin (Ethereum-anchored only)","JPMorgan Chase","Bank-Issued Settlement Token","Regulated Interbank Settlement","https://www.jpmorgan.com/onyx","United States / Multinational","Bank Settlement Token","Selective production","Permissioned bank settlement token with initiatives anchoring or interoperating with Ethereum-based infrastructure","Interbank payments & treasury settlement","Banks, institutional clients","Medium","Settlement / Interop","Ethereum-anchored components","Permissioned + anchored","Regulated bank","Centralized (bank-controlled)","Account-based","Institutional KYC","Integration with core banking & payments","Onyx, banks","Regulator-approved","Live in limited corridors","Medium","Included only where Ethereum anchoring exists","Not a retail stablecoin; scope is interbank","Does Ethereum provide settlement finality or only interoperability?"
"Onyx Digital Assets (public-sector / interbank)","JPMorgan (Onyx)","Institutional Platform","Interbank Settlement & Tokenization","https://www.onyxjpmorgan.com","Multinational (Bank-led, regulator-supervised)","Tokenization / Settlement","Pilot → Early Production","Institutional platform for tokenized deposits, collateral, and interbank settlement with Ethereum interoperability","Institutional settlement & tokenization","Banks, FMIs","Medium","Settlement / Control Plane","Ethereum mainnet (interop / anchoring)","Hybrid","Regulated banks","Consortium / Bank-governed","Permissioned","Institutional KYC","Integration with RTGS & custody","Banks, tech partners","Regulator-supervised","Multiple pilots completed","Medium","Demonstrates bank-led Ethereum interop","Core stack is permissioned","Is Ethereum required for cross-network settlement?"
"Project Helvetia","Swiss National Bank (SNB) + BIS","Central Bank Pilot","Wholesale CBDC & Settlement","https://www.bis.org/about/bisih/topics/cbdc/helvetia.htm","Switzerland","CBDC / Wholesale Settlement","Completed pilot","Pilot exploring wholesale CBDC settlement using Ethereum-based DLT in financial market infrastructure","Wholesale CBDC settlement & DvP","Banks, FMIs","High","Settlement Layer","Ethereum-based permissioned networks","Permissioned + anchored","Central bank","Consortium (SNB + partners)","Account-based","Bank-level KYC","Integrated with securities settlement systems","BIS, SIX","Public-sector compliant","Successful settlement pilots","Medium","Clear central-bank Ethereum lineage","Focused on wholesale markets","Was public Ethereum used for anchoring or only permissioned forks?"
"Singapore Global CBDC Challenge (Ethereum tracks)","Monetary Authority of Singapore (MAS)","Regulator Challenge Program","Public-Sector Sandbox / Challenge","https://www.mas.gov.sg/development/fintech/central-bank-digital-currency","Singapore","CBDC / Retail CBDC Innovation","Completed (challenge cohorts)","MAS-led global challenge to prototype retail CBDC designs, including entries using permissioned Ethereum stacks","Design validation & ecosystem mobilization","Fintechs, banks, PSPs","Medium–High","Prototype settlement/control plane","Permissioned Ethereum (Quorum) in specific solutions","Hybrid","Central bank (conceptual)","Regulator-led","Varies by solution","Regulator-defined (conceptual)","Designed for PSP integration","Visa + ConsenSys among winners/participants","Regulator-run","Winners/shortlists published; reference architectures documented","Low–Medium","Direct public-sector program with Ethereum-based solution tracks","Treat as “ecosystem activation,” not a deployed CBDC","Confirm which solutions used Ethereum/Quorum vs other DLTs"
"Abu Dhabi Global Market blockchain sandbox (ADGM RegLab)","Abu Dhabi Global Market (FSRA / RegLab)","Regulatory Sandbox","Public-Sector Sandbox","https://www.adgm.com/setting-up/digital-assets","Abu Dhabi, UAE","Sandbox / Fintech & Digital Assets","Ongoing","Regulator-run sandbox enabling supervised experimentation for fintech and digital assets; can host Ethereum-based pilots when used for tokenization/settlement","Regulated experimentation & market enablement","Fintechs, banks, institutions","Medium (context-dependent)","Pilot environment / regulated market access","Depends on cohort (may include Ethereum)","Hybrid","Regulator-approved","Regulator-governed","Varies by cohort","Regulator-defined","Designed to interface with banks & markets","RegLab cohort partners","Regulator-supervised","Multiple cohort graduations; tokenization initiatives observed in-market","Medium","State-level sandbox that can govern Ethereum-based pilots","Only include rows where the sandbox cohort materially uses Ethereum","Identify named Ethereum pilots admitted under RegLab (issuer, asset, chain, settlement model)"
"Dubai VARA public-sector pilots (Ethereum-based)","Dubai Virtual Assets Regulatory Authority (VARA) + Dubai Gov entities","Regulator + Public Pilot Program","Public-Sector Tokenization Pilots","https://vara.ae","Dubai, UAE","Tokenization / Public-sector pilots","Pilot → Early production","VARA-linked public tokenization initiatives (e.g., real estate tokenization) under Dubai government entities","Public-sector tokenization & regulated rollout","Citizens, investors, VASPs","Medium–High (pilot-dependent)","Issuance / registry / settlement (pilot-specific)","Depends on pilot; may include Ethereum","Hybrid","Government entity / regulated participants","Centralized / regulator-supervised","Varies","Regulated KYC","Integration with land registry & financial rails","Dubai Land Department, Dubai Future Foundation","Public-sector compliant","Active tokenization pilots announced","Medium","Meets “public-sector governance” boundary; include only Ethereum-dependent pilots","Treat VARA as governance wrapper; the “entity” row should anchor to named pilots under VARA oversight","For each pilot: confirm chain (Ethereum/L2), on-chain registry role, and settlement finality"
"Estonia e-Residency blockchain initiatives (Ethereum contexts)","Government of Estonia (e-Residency program)","National Digital Identity Program","Public Identity Infrastructure","https://www.e-resident.gov.ee","Estonia","Digital identity / public services","Production (identity), pilots (blockchain experiments)","Government-issued digital identity program; blockchain experiments have been discussed historically in connection with e-Residency-adjacent services","Digital identity & public services enablement","Global entrepreneurs, public agencies","Low–Medium (Ethereum-specific use not guaranteed)","Audit / notarization (if Ethereum used)","Not confirmed (often non-Ethereum approaches historically)","Hybrid","Government","Centralized","Selective disclosure","Gov KYC","Integrates with Estonia digital government stack","Public + private partners","Public-sector compliant","e-Residency is live; “on-chain” aspects vary by initiative","Medium (identity), Low (Ethereum tie)","Included only if a specific Estonia initiative uses Ethereum as an anchor layer","Estonia is a top “digital state” reference point; but Ethereum linkage must be proven per initiative","Identify a named Estonia public-sector project that anchors proofs/state to Ethereum (otherwise exclude)"
"Project mBridge","BIS Innovation Hub + PBoC, HKMA, BoT, CBUAE","Multinational Central Bank Pilot","Multi-CBDC Settlement Platform","https://www.bis.org/about/bisih/topics/cbdc/mbridge.htm","Multinational (Central Banks)","Cross-Border CBDC Settlement","Advanced pilot","Multi-CBDC platform enabling real-time cross-border settlement with Ethereum-compatible components and design patterns","Cross-border wholesale CBDC settlement","Central banks, banks","Medium–High","Settlement / Interop Layer","Ethereum-compatible DLT components (permissioned)","Permissioned","Participating central banks","Consortium","Account-based","Bank-level KYC","Designed to interop with RTGS and FX systems","BIS, participating CBs","Public-sector compliant","Live pilots with real transactions","Medium","Demonstrates Ethereum-style composability for sovereign settlement","Ethereum influence is architectural and component-level","Which components are EVM-compatible vs bespoke?"
"Project Icebreaker","BIS Innovation Hub + Sveriges Riksbank, Norges Bank, Bank of Israel","Multinational Central Bank Pilot","Payment Interoperability","https://www.bis.org/about/bisih/topics/cbdc/icebreaker.htm","Multinational (Central Banks)","Retail / Cross-Border Payments","Completed pilot","Interoperability model connecting domestic payment systems and CBDCs, evaluating DLT backends including Ethereum-style architectures","Cross-border payment interoperability","Central banks, PSPs","Medium","Messaging / Orchestration","DLT backends evaluated (Ethereum-style)","Hybrid","Domestic CBs","Consortium","Account-based","Regulator-defined","Designed to bridge domestic rails","BIS, central banks","Public-sector compliant","Demonstrated interoperability flows","Low–Medium","Shows how Ethereum-style design fits CB payment interop","Ethereum is not the sole ledger","Was Ethereum used for execution or only as a reference backend?"
