"Entity","Maintaining Organization","Entity Type","Entity Archetype","Website","Year Launched","Mainnet Status","One-Line Description","Primary Governance Function","Secondary Governance Functions","Governance Scope","Authority Origin","Decision Binding","Execution Mechanism","Treasury Control","Permission Model","Ethereum Dependency","Cross-Chain Support","Governance Upgradeability","Emergency Controls","Governance Capture Risk","Known Incidents","Audit Status","DAOs Using System (Examples)","Institutional Readiness","Reason for Inclusion","Practitioner’s Note","Practitioner Validation Check"
"Roles Modifier","Gnosis Guild","Open-Source Module","Role-Based Authority Extension","https://github.com/gnosis/zodiac-modifier-roles","2022","Live (Ethereum mainnet)","Zodiac module enabling granular, role-based execution permissions","Fine-grained permission enforcement","Least-privilege execution","Execution / Permissions","Role-based","Fully binding","Module-enforced execution","Via Safe","Fine-grained","Very High","Yes (EVM)","Governed via Safe","Module revocation","Medium","None systemic","Audited","ENS, DAO treasuries","High","Reduces multisig signer overreach","Role sprawl increases misconfiguration risk","Are roles minimized and reviewed periodically?"
"Delay Modifier","Gnosis Guild","Open-Source Module","Execution Delay Extension","https://github.com/gnosis/zodiac-modifier-delay","2022","Live (Ethereum mainnet)","Module enforcing execution delays on Safe transactions","Time-based execution safety","Governance transparency","Execution","Governance-defined","Fully binding","Time-delayed execution","Via Safe","Time-based","Very High","Yes (EVM)","Governed via Safe","Delay cancellation","Low–Medium","None systemic","Audited","GnosisDAO, protocol DAOs","High","Adds safety without replacing Timelock","Delays must align with threat model","Are delays long enough to respond to attacks?"
"OpenZeppelin Defender (governance automation contexts only)","OpenZeppelin","Platform / Tooling","Governance Automation","https://openzeppelin.com/defender","2020","Live (Ethereum mainnet)","Automation and monitoring platform for executing and safeguarding governance-approved actions","Automated execution of governance decisions","Monitoring, alerts, admin action coordination","Execution Automation","Governance-defined","Fully binding (when wired to governance)","Relayers, scripted execution","Indirect","Policy-based","High","EVM-compatible","Admin / governance-controlled","Pause / revoke relayers","Medium","None systemic","Audited (infra-level)","Protocol DAOs, foundations","Conditional","Automation layer, not a governance authority","Defender should never be a governance decision-maker","Are Defender actions strictly gated by governance approval?"
"Hats Protocol","Hats Protocol","Protocol","Role-Based Authority System","https://hatsprotocol.xyz","2022","Live (Ethereum mainnet)","On-chain protocol for defining, assigning, and enforcing organizational roles","Role-based authority enforcement","Delegated permissions, role hierarchies","Permissions / Execution","Role-based","Fully binding","Role-gated execution","Indirect","Fine-grained roles","Very High","EVM-compatible","Governed by protocol usage","Role revocation","Medium","None systemic","Audited","Optimism, DAO tooling","High","Makes authority explicit and auditable on-chain","Roles can silently become governance choke points","Are roles minimized and actively reviewed?"
"Coordinape (authority signaling only)","Coordinape","Platform","Authority & Influence Signaling","https://coordinape.com","2020","Live (Ethereum-integrated)","Peer-based contribution signaling and reward coordination for DAOs","Authority & contribution signaling","Compensation input, influence mapping","Signaling only","Social / Peer-based","Advisory only","None","None","Informal","Low–Medium","Multi-chain","Platform-governed","None","Medium","None material","Not applicable","Yearn, DAO communities","Low","Signals informal authority inside DAOs","Coordinape never enforces governance","Are signals mistakenly treated as binding authority?"
"Guild.xyz (on-chain role gating only)","Guild.xyz","Protocol / Platform","Role Gating & Access Control","https://guild.xyz","2021","Live (Ethereum mainnet)","On-chain role and membership gating based on token, NFT, or DAO status","Role-based access control","Identity gating, community segmentation","Access Control","Token / NFT / DAO-defined","Binding for access only","Smart contract gating","None","Rule-based","Medium–High","Multi-chain","Platform-governed","Revocation","Low–Medium","None material","Partial","DAOs, communities","Conditional","Enforces access, not decision authority","Role gating ≠ governance","Does role gating accidentally imply decision power?"
"Aragon","Aragon Association","Protocol / Framework","End-to-End DAO Governance","https://aragon.org","2017","Live (Ethereum mainnet)","Full-stack DAO governance framework covering voting, execution, treasury, and permissions","DAO creation and governance execution","Treasury management, permissioning, upgrades","Full Stack","Token / Role / Hybrid","Fully binding","Aragon OS smart contracts","Native / Safe-integrated","Role-based","Very High","Limited (EVM)","Governed via DAO","Guardian / pause (config-dependent)","Medium","None systemic","Audited","Aragon DAO, API3, early DAOs","Conditional","One of the earliest and most complete DAO OS implementations","Opinionated architecture may limit flexibility","Are upgrade and guardian powers fully governed on-chain?"
"DAOstack (Alchemy)","DAOstack","Protocol / Framework","End-to-End DAO Governance","https://daostack.io","2018","Live (Ethereum mainnet, reduced adoption)","DAO governance framework using reputation-based voting and execution","Proposal lifecycle and execution","Reputation weighting, DAO tooling","Full Stack","Reputation-based","Fully binding","Alchemy contracts","Native","Reputation-based","High","No","Governed","Limited","Medium","None systemic","Audited","Early DAOs, experimental orgs","Low","Historically important governance model","Reputation systems are hard to maintain at scale","Is reputation issuance and decay well-defined?"
"Colony","Colony Labs","Protocol / Platform","End-to-End DAO Governance","https://colony.io","2018","Live (Ethereum mainnet)","DAO framework focused on task-based governance and domain-level permissions","Work coordination and governance","Domain-based permissions, payments","Full Stack","Token + Reputation hybrid","Fully binding","Colony contracts","Native","Domain-scoped roles","High","Limited","Governed","Recovery modes","Medium","None systemic","Audited","MetaCartel Ventures, teams","Conditional","Strong for operational DAOs","Less suitable for large protocol governance","Are domains and permissions overly fragmented?"
"Moloch DAO Framework","MolochDAO / Community","Open-Source Framework","End-to-End DAO Governance","https://molochdao.com","2019","Live (Ethereum mainnet)","Minimalist DAO framework centered on pooled treasury and ragequit","Treasury governance via membership votes","Ragequit, share-based exits","Full Stack (Minimal)","Membership shares","Fully binding","Protocol-native execution","Native","Share-based","Very High","No","Immutable / Minimal","Ragequit","Low–Medium","None systemic","Audited","MetaCartel, early DAOs","Low–Conditional","Strong alignment via exit rights","Limited flexibility for complex organizations","Can members always exit with proportional funds?"
