"Entity","Maintaining Organization","Entity Type","Entity Archetype","Website","Year Launched","Mainnet Status","One-Line Description","Primary Compliance Function","Secondary Compliance Functions","Supported Compliance Domains","Target Users","Ethereum Dependency","Ethereum Data Coverage","Real-Time vs Historical","Cross-Chain Coverage (Ethereum-relative)","Address Attribution Methodology","Risk Scoring Model","Explainability","Sanctions & Watchlist Integration","Travel Rule Support","Case Management & Investigations","Reporting & Audit Outputs","Access Controls & Permissions","Institutional / Regulator Adoption","Reason for Inclusion","Practitioner’s Note","Practitioner Validation Check",""
"Lukka","Lukka","SaaS Platform","Regulatory Reporting & Audit","https://www.lukka.tech","2014","Live","Enterprise-grade crypto accounting, reporting, and audit tooling with Ethereum transaction support","Regulatory & financial reporting","Tax, accounting reconciliation","Auditability, reporting, compliance","Funds, enterprises, auditors","Medium–High","Ethereum L1 (balances, tx history)","Historical","Multi-chain supported","Deterministic reconciliation (on-chain ↔ books)","Not primary (reporting-focused)","High (traceable reconciliations)","Via integrations","Not primary","Limited (reporting-centric)","Audit-ready statements & schedules","Enterprise RBAC","High (audit firms, funds)","Makes Ethereum activity audit-defensible","Not an AML screener—pair with KYT","Can reports be reproduced from raw ETH data?",""
"Notabene","Notabene","SaaS Platform","Travel Rule & Messaging","https://www.notabene.id","2020","Live","Travel Rule solution enabling compliant information exchange for Ethereum transfers","Travel Rule compliance","Messaging, counterparty coordination","Travel Rule, AML","Exchanges, VASPs","High","Ethereum L1 & L2s (transfer context)","Real-time messaging + records","Multi-chain","Counterparty identity exchange","Not primary (policy-driven)","High (message evidence)","Sanctions via partners","Primary","Case workflows for compliance ops","Regulator-ready message logs","Enterprise RBAC","High (VASPs)","Canonical Travel Rule layer for Ethereum","Ensure VASP coverage in corridors","Are all ETH flows mapped to VASP counterparties?",""
"Merkle Science","Merkle Science","SaaS Platform","Risk, Forensics & Investigations","https://www.merklescience.com","2018","Live","Ethereum-focused risk monitoring and investigations platform with compliance workflows","AML risk monitoring","Investigations, sanctions screening","AML, sanctions, investigations","Exchanges, banks, regulators","High","Ethereum L1 + ecosystem flows","Both","Multi-chain","Graph analysis + entity labeling","Category-weighted risk scoring","Medium","Integrated sanctions lists","Via partners","Built-in case management","Audit trails & reports","Enterprise RBAC","Medium–High","Bridges AML alerts to investigations","Best as mid-stack between KYT & forensics","Can investigators reproduce graphs independently?",""
"Blockchain Intelligence Group","Blockchain Intelligence Group (BIG)","SaaS Platform","Investigations & Compliance","https://blockchaingroup.io","2013","Live","Investigations and compliance tooling for tracing Ethereum activity and producing evidentiary reports","Investigations & tracing","Compliance reporting","AML, investigations","Law enforcement, exchanges","Medium–High","Ethereum L1","Historical + investigative","Limited","Heuristics + visual tracing","Investigator-driven","Medium–High","Sanctions context supported","Not primary","Case-centric investigations","Court-ready reports","Enterprise RBAC","Medium (LE focus)","Longstanding investigations vendor","Depth varies by chain/module","Are ETH heuristics current with DeFi patterns?",""
"Solidus Labs","Solidus Labs","SaaS Platform","Market Integrity & Surveillance","https://soliduslabs.com","2018","Live","Market surveillance platform detecting manipulation, abuse, and illicit behavior across Ethereum markets","Market abuse detection","Trade surveillance, anomaly detection","Market integrity, AML-adjacent enforcement","Exchanges, regulators","Medium–High","Ethereum DEXs, venues, token markets","Near real-time + historical","Ethereum-first, multi-chain expanding","Behavioral pattern analysis; venue-level context","Rule- and model-driven alerts","Medium","Contextual (not primary)","Not primary","Integrated investigations workflows","Surveillance reports & evidentiary packages","Enterprise RBAC","Medium–High","Covers the manipulation gap AML tools miss","Best paired with KYT/forensics for entity attribution","Can alerts be tied to accountable entities (not just wallets)?",""
"Kaiko (market integrity contexts)","Kaiko","Data Platform","Market Integrity & Benchmarking","https://www.kaiko.com","2014","Live","Institutional-grade market data and analytics used for surveillance, benchmarks, and integrity monitoring on Ethereum markets","Market data integrity & surveillance inputs","Benchmarks, pricing, analytics","Market integrity, monitoring","Exchanges, regulators, FIs","Medium","Ethereum spot/derivatives markets","Both","Multi-venue, cross-chain datasets","Venue-level attribution; data normalization","Anomaly detection (data-driven)","Medium–High","Indirect (contextual)","Not primary","Supports investigations via data feeds","Regulator-grade reports & benchmarks","Enterprise RBAC / data entitlements","High (benchmarks & regulators)","Canonical market data for enforcement-grade analysis","Data quality underpins surveillance accuracy","Are DEX/L2 markets normalized consistently?",""
"Amberdata (regulatory analytics contexts)","Amberdata","SaaS Platform","Regulatory & Risk Analytics","https://amberdata.io","2017","Live","Analytics platform providing Ethereum market, risk, and network intelligence for compliance and oversight","Regulatory analytics & risk monitoring","Market data, on-chain analytics","Market integrity, risk oversight","FIs, exchanges, regulators","Medium–High","Ethereum L1 + ecosystem flows","Both","Multi-chain","Address tagging + market context","Indicator-based risk signals","Medium","Contextual","Not primary","Case workflows via analytics dashboards","Compliance-oriented reports","Enterprise RBAC","Medium–High","Bridges on-chain activity with market risk views","Strong for oversight, not deep forensics","Can insights be traced to specific ETH transactions?",""
"Eventus (crypto integrations)","Eventus Systems","SaaS Platform","Market Surveillance & Enforcement","https://www.eventus.com","2003","Live","Market surveillance platform adapted for crypto venues, including Ethereum-based trading activity","Trade surveillance & enforcement","Market abuse detection","Market integrity, enforcement","Exchanges, regulators","Medium","Ethereum trading venues (integrated feeds)","Near real-time + historical","Cross-venue","Venue-centric attribution","Rule-based + model alerts","High (rule transparency)","Not primary","Not primary","Full case management & escalation","Court-ready surveillance outputs","Enterprise RBAC","High (TradFi regulators)","Brings TradFi-grade enforcement to crypto","Requires high-quality venue data","Are Ethereum venues feeding complete order-book data?",""
"Chainalysis Reactor","Chainalysis","SaaS Module","Forensics & Investigations","https://www.chainalysis.com/product/reactor","2018","Live","Investigation platform for tracing Ethereum transactions, entities, and illicit flows with evidentiary depth","Blockchain forensics & tracing","Entity attribution, exposure analysis","AML, sanctions, investigations","Law enforcement, regulators, exchanges","High","Ethereum L1 + major L2s / bridges","Historical + live tracing","Strong multi-chain pathfinding","Heuristics + clustering + entity labeling","Investigator-driven (contextual)","High (visual + evidentiary links)","Integrated via Chainalysis datasets","Not primary","Full investigative case workflows","Court- and regulator-ready reports","Enterprise RBAC","Very High","Canonical enforcement-grade Ethereum investigations tool","Best used after alerts, not as first-line KYT","Can an external auditor independently follow the same trace path?",""
"TRM Entity Resolution","TRM Labs","SaaS Module","Entity Resolution & Attribution","https://www.trmlabs.com","2021","Live","Entity-resolution layer mapping Ethereum addresses to real-world actors across networks","Entity attribution","Investigations, exposure analysis","AML/CFT, sanctions","Regulators, law enforcement, banks","High","Ethereum L1 + ecosystem flows","Both","Cross-chain entity mapping","Graph-based resolution + intelligence inputs","Not a scorer (identity layer)","Medium–High","Integrated via TRM intel","Not primary","Embedded in forensics workflows","Attribution evidence & summaries","Enterprise RBAC","Very High (public sector)","Solves the “many wallets → one actor” problem","Attribution confidence varies by cluster","What confidence score backs each entity linkage?",""
"Nansen (compliance contexts only)","Nansen","Analytics Platform","Attribution & Labeling Intelligence","https://www.nansen.ai","2019","Live","Wallet labeling and behavioral intelligence on Ethereum, repurposed for compliance and attribution","Address labeling & behavior analysis","Exposure mapping","AML-adjacent, investigations support","Funds, compliance teams","Medium–High","Ethereum L1 + major L2s","Historical + near real-time","Ethereum-centric, multi-chain expanding","Labeled wallets + behavior clustering","Not a formal risk score","Medium","Contextual only","Not primary","Limited (analytics-centric)","Data exports for investigations","Tiered access & API keys","Medium","Adds behavioral context missing from pure AML tools","Not regulator-defensible alone","Are labels maintained with documented sourcing?",""
"Arkham (forensics contexts only)","Arkham Intelligence","Analytics Platform","Attribution & Forensics","https://arkhamintelligence.com","2022","Live","Attribution-driven blockchain intelligence platform focused on identifying actors behind Ethereum wallets","Attribution & tracing","Investigative analysis","Investigations, AML-adjacent","Investigators, analysts","High","Ethereum L1 + ecosystem flows","Historical + near real-time","Multi-chain, Ethereum-strong","Entity attribution via intelligence & clustering","Not a formal score","Medium","Contextual","Not primary","Investigative graphing & tracing","Exportable intelligence outputs","Account-based permissions","Medium","Strong at rapid attribution discovery","Methodology transparency varies","Can attribution be defended without off-platform evidence?",""
"Chainalysis Government Solutions","Chainalysis","GovTech Platform","Government & Law-Enforcement Intelligence","https://www.chainalysis.com/solutions/government","2016","Live","Government-grade blockchain intelligence suite used by regulators and law enforcement to monitor and investigate Ethereum activity","Enforcement-grade investigations","Sanctions enforcement, national security analytics","AML/CFT, sanctions, criminal investigations","Regulators, law enforcement, central banks","High","Ethereum L1 + major L2s / bridges","Both","Full cross-chain tracing","Heuristics + clustering + entity attribution","Contextual, investigator-driven","High (evidence-linked)","Native sanctions tooling","Not primary","Full investigative case management","Court-ready evidentiary reports","Government-grade RBAC","Very High (global agencies)","Defines state-level visibility into Ethereum","Optimized for prosecution, not exchange ops","Can evidence packages withstand judicial scrutiny?",""
"TRM Public Sector","TRM Labs","GovTech Platform","Public-Sector Blockchain Intelligence","https://www.trmlabs.com/solutions/public-sector","2019","Live","Public-sector intelligence platform supporting regulators and law enforcement in monitoring and investigating Ethereum-based activity","National security & enforcement intelligence","Threat finance, sanctions, investigations","AML/CFT, sanctions, security","Regulators, LEAs, FIUs","High","Ethereum L1 + ecosystem flows","Both","Strong cross-chain entity mapping","Graph-based entity resolution + intel fusion","Investigator-configured","Medium–High","Integrated sanctions intelligence","Not primary","Purpose-built investigative workflows","Regulator-grade reports & exports","Government-grade RBAC","Very High (public sector focus)","Tailored specifically for sovereign enforcement","Strong where threat-finance intelligence matters","Are intelligence sources documented for court use?",""
"Elliptic Government Solutions","Elliptic","GovTech Platform","Government AML & Sanctions Analytics","https://www.elliptic.co/solutions/government","2018","Live","Government-focused crypto compliance and analytics suite enabling sanctions screening and Ethereum investigations","Sanctions enforcement & AML analytics","Investigations support","AML, sanctions, enforcement","Regulators, public agencies","High","Ethereum L1 + supported ecosystem","Both","Multi-chain context supported","Attribution + labeling + category analysis","Category-weighted risk indicators","Medium","Strong sanctions coverage","Not primary","Investigations workflows (gov-oriented)","Enforcement-ready reporting","Government-grade access controls","High","Enables sovereign sanctions enforcement on Ethereum","Strong for screening, lighter for deep forensics","Can Ethereum risk categories be traced to primary sources?",""
