"Entity","Maintaining Organization","Entity Type","Entity Archetype","Website","Year Launched","Mainnet Status","One-Line Description","Primary Enterprise Function","Secondary Functions","Enterprise Use Case Category","Target Customer","Deployment Model","Ethereum Dependency","Ethereum Role","Supported Ethereum Environments","Cross-Chain / Interop","Integration & Systems Compatibility","Identity / Permissioning","Privacy / Confidentiality Model","Compliance Enablement","Governance & Change Mgmt","Security / Key Mgmt Model","Audit Status","Enterprise Clients (Examples)","Production Readiness","Vendor Lock-In Risk","Reason for Inclusion","Practitioner’s Note","Practitioner Validation Check",""
"Infura","ConsenSys","Infrastructure Platform","Enterprise Node & API Access","https://infura.io","2016","Live (Mainnet & L2s)","Managed Ethereum node and API service enabling reliable enterprise access","Enterprise Ethereum connectivity","Scaling, monitoring, reliability","Infra, payments, apps","Enterprise / Developer orgs","SaaS","High","Access / Control Plane","Mainnet, L2s","Limited","DevOps, data pipelines","API-key & org controls","Provider-level","Indirect (logs, uptime, access)","Provider-managed","Provider KMS","Audited","Enterprises, protocols","High","Medium-High","Canonical enterprise gateway to Ethereum","Centralization & outage risk","Is redundancy in place beyond Infura?",""
"Chainstack","Chainstack","Infrastructure Platform","Enterprise Ethereum Environments","https://chainstack.com","2017","Live (Mainnet & private)","Managed Ethereum environments for enterprise development and production","Ethereum environment provisioning","Monitoring, ops tooling","Infra, enterprise IT","Enterprise","SaaS / Managed","High","Execution / Access Plane","Mainnet, L2s, Private + Mainnet","Limited","Cloud, DevOps, IAM","Org & role-based","Provider-level","Enterprise ops compliance","Platform-managed","Managed KMS","Audited","Enterprises, Web3 teams","High","Medium","Makes Ethereum environments enterprise-friendly","Infra abstraction vs portability","Can environments migrate without downtime?",""
"QuickNode","QuickNode","Infrastructure Platform","Enterprise Ethereum Infrastructure","https://www.quicknode.com","2017","Live (Mainnet & L2s)","High-performance Ethereum node and API infrastructure for enterprise use","Reliable Ethereum access at scale","Analytics, monitoring","Infra, fintech, ops","Enterprise / Scale-ups","SaaS","High","Access / Data Plane","Mainnet, L2s","Yes (multi-chain EVM)","DevOps, data stacks","API-key & org controls","Provider-level","Indirect (logs, access)","Provider-managed","Provider KMS","Audited","Enterprises, fintechs","High","Medium","Enterprise-grade performance layer for Ethereum","Throughput ≠ governance or custody","Is Ethereum access diversified across providers?",""
"ConsenSys Quorum Permissioning","ConsenSys","Middleware / Client Module","Enterprise Permissioning & Access Control","https://consensys.io/quorum","2017","Live (Enterprise + Mainnet anchoring)","Permissioning layer for Ethereum networks enabling enterprise-grade access control and privacy","Network & node permissioning","Private tx coordination, ops controls","Payments, capital markets, interbank","Enterprise / Bank","Self-Hosted / Hybrid","High","Execution / Control Plane","Mainnet-anchored private networks","Limited (EVM)","IAM, ops tooling","Role-based (org-managed)","Private transactions (Quorum)","Audit, policy enforcement","Org-governed","Enterprise KMS / HSM","Audited","Banks, financial institutions","High","Medium","Enables compliant enterprise operation of Ethereum","Permissioning adds control but increases ops complexity","Is public Ethereum anchoring required for finality?",""
"Baseline Protocol","Baseline Protocol (Consortium)","Protocol / Standard","ERP ↔ Ethereum Integration","https://baseline-protocol.org","2020","Live (Ethereum mainnet)","Protocol to synchronize business processes across enterprises using Ethereum as a common state","ERP synchronization via Ethereum","Privacy-preserving coordination","Supply chain, procurement","Enterprise","Hybrid","High","Control Plane / State Anchoring","Mainnet (with privacy layers)","Limited","ERP (SAP, Oracle), messaging","Org-defined","ZK-based selective disclosure","Strong (audit-friendly)","Consortium-governed","Enterprise custody","Audited","SAP ecosystem, pilots","Medium-High","Low","Makes Ethereum the neutral coordination layer for enterprises","Ethereum used as truth anchor, not data store","Are proofs and hashes anchored to L1 finality?",""
"Aztec (enterprise contexts only)","Aztec Labs","Protocol","Enterprise Privacy Layer","https://aztec.network","2021","Live (Ethereum L2, L1-settled)","Zero-knowledge privacy layer enabling confidential transactions on Ethereum","Confidential settlement","Privacy-preserving logic","Payments, asset transfer","Enterprise / Fintech","Hybrid","High","Execution / Privacy Layer","Ethereum L1 + Aztec L2","Limited","Custody, compliance tooling","Org-managed","ZK-based confidentiality","Conditional (policy-driven)","Protocol-governed","Enterprise custody","Audited","Pilots, fintechs","Medium","Medium","Enables privacy without abandoning public Ethereum","ZK ops add cost & complexity","Is enterprise compliance compatible with private state?",""
"Spruce (enterprise identity)","Spruce","Protocol / Platform","Enterprise Identity & Access","https://spruceid.com","2021","Live (Ethereum-anchored)","Decentralized identity and credential tooling anchored to Ethereum","Identity & credential verification","Access control, auth","Identity, access mgmt","Enterprise / Gov","Hybrid","Medium-High","Identity / Control Plane","Mainnet-anchored","Limited","IAM, auth systems","Credential-based","Selective disclosure","Compliance-friendly (DIDs, VCs)","Org-governed","Key-based identity","Audited (components)","Enterprises, gov pilots","Medium-High","Low-Medium","Brings identity & access to Ethereum workflows","Identity ≠ governance; scope carefully","Are credentials verifiable on Ethereum without off-chain trust?",""
"EY OpsChain","Ernst & Young (EY)","Platform / Application Suite","Enterprise Workflow & Settlement","https://www.ey.com/en_gl/blockchain/ey-opschain","2018","Live (Ethereum-anchored)","Enterprise blockchain suite for procurement, supply chain, and financial workflows using Ethereum","Business process execution & settlement","Traceability, auditability","Supply chain, procurement, finance","Enterprise","Hybrid (Managed + Client-hosted)","High","Execution / Settlement","Mainnet anchoring + private tx","Limited","ERP, finance, audit systems","Org-managed","Selective disclosure","Strong (audit-first design)","Enterprise-governed","Enterprise custody / HSM","Audited","Global enterprises","High","Medium","Production-grade enterprise workflows anchored to Ethereum","EY consulting ≠ OpsChain infra; include infra only","Is final state anchored to Ethereum L1?",""
"SAP Blockchain Service (Ethereum integrations)","SAP","Platform / Service","ERP ↔ Ethereum Integration","https://www.sap.com/products/blockchain.html","2019","Live (Ethereum integrations)","SAP-managed service integrating Ethereum into ERP and business processes","ERP integration with Ethereum","Workflow sync, data anchoring","Finance, supply chain","Enterprise","Managed / Hybrid","Medium–High","Control Plane / Settlement","Ethereum mainnet & L2s","Limited","SAP ERP, S/4HANA","Enterprise IAM","Configurable","Compliance via ERP controls","Enterprise-governed","Enterprise KMS","Audited","SAP enterprise customers","High","High","Brings Ethereum into core enterprise ERP flows","SAP abstracts Ethereum heavily","Does Ethereum act as source of truth or just anchor?",""
"IBM Blockchain (Ethereum-anchored initiatives only)","IBM","Platform / Initiatives","Enterprise Blockchain Integration","https://www.ibm.com/blockchain","2017","Selective (Ethereum-anchored pilots)","Enterprise blockchain initiatives interfacing with public Ethereum for settlement and interoperability","Enterprise blockchain integration","Interop, ops tooling","Supply chain, finance","Enterprise","Hybrid","Medium","Settlement / Messaging","Ethereum mainnet (interop)","Yes","ERP, data systems","Enterprise IAM","Permissioned + anchoring","Regulatory alignment","Enterprise-governed","Enterprise custody","Audited","Global enterprises","Medium","High","Included only where Ethereum is settlement layer","Exclude Fabric-only deployments","Does value settle on Ethereum?",""
"Oracle Blockchain Platform (Ethereum interoperability)","Oracle","Platform / Service","Enterprise Interoperability","https://www.oracle.com/blockchain","2018","Live (interop contexts)","Oracle-managed blockchain platform with Ethereum interoperability for enterprise systems","Blockchain ↔ ERP interoperability","Messaging, ops","Finance, supply chain","Enterprise","Managed","Medium","Messaging / Settlement Bridge","Ethereum mainnet (interop)","Yes","Oracle ERP, databases","Enterprise IAM","Permissioned + anchoring","Compliance via Oracle stack","Enterprise-governed","Oracle KMS","Audited","Oracle enterprise clients","Medium","High","Included only for Ethereum settlement bridges","Core ledger is not Ethereum","Is Ethereum required for final settlement?",""
"Provenance Blockchain (Ethereum settlement bridges only)","Figure / Provenance","Protocol / Network","Enterprise Settlement Bridge","https://provenance.io","2018","Live (bridged contexts)","Financial services blockchain with settlement bridges to public Ethereum","Asset settlement & interoperability","Tokenization, settlement","Financial services","Bank / Enterprise","Hybrid","Medium","Settlement Bridge","Ethereum mainnet (bridged)","Yes","Core banking, custody","Org-defined","Network-level privacy","Regulatory-first","Network-governed","Institutional custody","Audited","Financial institutions","Medium","Medium","Included only where Ethereum is settlement layer","Core network is non-Ethereum","Does Ethereum provide finality or liquidity access?",""
"Fireblocks (enterprise deployment & ops)","Fireblocks","Platform / Infrastructure","Enterprise Ops & Deployment","https://www.fireblocks.com","2018","Live (Ethereum mainnet & L2s)","Secure infrastructure for enterprises to deploy, operate, and manage Ethereum-based digital asset workflows","Transaction orchestration & ops","Policy controls, integration","Payments, treasury, token ops","Enterprise / Bank","SaaS / Hybrid","High","Execution / Ops Plane","Mainnet, L2s","Yes (multi-chain)","ERP, custody, trading systems","Policy- & role-based","Transaction-level controls","Strong (AML, audit, reporting)","Org-governed","MPC-based custody","Audited","Banks, fintechs","High","Medium","Makes Ethereum operations institutionally operable","Ops layer, not issuance logic itself","Are policies enforced at signing, not just UI?",""
"Taurus (issuance & custody)","Taurus SA","Platform","Enterprise Issuance & Custody","https://www.taurushq.com","2018","Live (Ethereum mainnet)","Enterprise platform for issuing, custodying, and managing digital assets on Ethereum","Asset issuance & lifecycle mgmt","Custody, governance tooling","Capital markets, RWAs","Bank / Enterprise","Hybrid","High","Issuance / Custody","Mainnet, permissioned + mainnet","Limited","Core banking, custody","Role-based","Configurable","Regulatory-first","Enterprise-governed","HSM / MPC","Audited","Banks, asset managers","High","Medium","Bridges regulated finance and Ethereum issuance","Jurisdictional scope matters","Are issued assets native ERCs on Ethereum?",""
"Tokeny","Tokeny Solutions","Platform","Enterprise Token Issuance","https://tokeny.com","2017","Live (Ethereum mainnet)","Enterprise platform for issuing and managing compliant tokens using ERC standards","Token issuance & compliance","Transfer restrictions, lifecycle mgmt","Security tokens, RWAs","Enterprise / Issuer","SaaS / Hybrid","High","Issuance / Compliance Layer","Mainnet","Limited","Issuer ops, compliance","Identity-based","Permissioned transfers","Strong (KYC/AML baked in)","Platform-governed","Enterprise custody","Audited","Issuers, funds","High","Medium","Canonical ERC-3643 enterprise issuance stack","Strong compliance, less flexibility","Do restrictions live on-chain or off-chain?",""
"Securitize","Securitize","Platform","Enterprise Issuance Infrastructure","https://securitize.io","2017","Live (Ethereum mainnet)","End-to-end platform for issuing, managing, and servicing digital securities on Ethereum","Regulated token issuance","Transfer agent services","Capital markets","Issuers / Institutions","Hybrid","High","Issuance / Settlement","Mainnet, L2s","Limited","Broker-dealers, custodians","Identity-based","Permissioned","SEC & regulator-aligned","Enterprise-governed","Institutional custody","Audited","Issuers, funds","High","Medium","Production-grade regulated issuance on Ethereum","Heavy regulatory coupling","Are tokens standard ERCs with on-chain rules?",""
"Onyx Digital Assets (Ethereum-anchored only)","JPMorgan (Onyx)","Platform / Initiative","Institutional Digital Assets","https://www.onyxjpmorgan.com","2020","Selective (Ethereum-anchored initiatives)","Institutional digital asset platform with selective Ethereum anchoring for settlement and interoperability","Institutional settlement & tokenization","Payments, collateral mgmt","Banking, capital markets","Bank","Hybrid","Medium","Settlement / Interop","Ethereum mainnet (anchored)","Yes","Core banking systems","Enterprise IAM","Permissioned + anchoring","Regulatory-first","Bank-governed","Institutional custody","Audited","JPMorgan clients","Medium","High","Included only where Ethereum provides settlement or interop","Core stack is permissioned","Does final settlement anchor to Ethereum?",""
"Baseline Protocol","Baseline Protocol Consortium","Protocol / Standard","ERP ↔ Ethereum Integration","https://baseline-protocol.org","2020","Live (Ethereum mainnet)","Protocol for synchronizing enterprise business processes using Ethereum as a shared state anchor","ERP process synchronization","Privacy-preserving coordination","Supply chain, procurement, B2B workflows","Enterprise","Hybrid","High","Control Plane / State Anchoring","Ethereum mainnet","Limited","SAP, Oracle, messaging systems","Org-defined","ZK-based selective disclosure","Strong (audit-first design)","Consortium-governed","Enterprise custody","Audited","SAP ecosystem pilots","Medium–High","Low","Makes Ethereum the neutral coordination layer between enterprises","Ethereum stores proofs, not business data","Are hashes and proofs anchored directly to L1 finality?",""
"SAP (Ethereum integrations)","SAP","Platform / Service","ERP ↔ Ethereum Integration","https://www.sap.com/products/blockchain.html","2019","Live (Ethereum integrations)","Native integrations between SAP ERP systems and Ethereum for settlement and process anchoring","ERP ↔ blockchain connectivity","Workflow automation, data anchoring","Finance, supply chain","Enterprise","Managed / Hybrid","Medium–High","Control Plane / Settlement","Ethereum mainnet & L2s","Limited","SAP S/4HANA, ERP stack","Enterprise IAM","Configurable","ERP-grade compliance & audit","Enterprise-governed","Enterprise KMS","Audited","SAP enterprise clients","High","High","Brings Ethereum into core enterprise systems of record","Ethereum often abstracted behind SAP","Is Ethereum the source of truth or just an anchor?",""
"Chainlink (enterprise integration contexts only)","Chainlink Labs","Protocol / Network","Enterprise Data & Integration Layer","https://chain.link","2017","Live (Ethereum mainnet & L2s)","Middleware enabling enterprises to connect off-chain data, systems, and events to Ethereum","Secure data & system integration","Messaging, automation","Finance, insurance, enterprise ops","Enterprise / Hybrid","Hybrid","High","Data & Control Plane","Mainnet, L2s","Yes","ERP, data feeds, APIs","Org-managed","Data-level controls","Compliance via auditability","Protocol-governed","Enterprise custody / oracle keys","Audited","Enterprises, financial institutions","High","Low–Medium","Makes Ethereum interoperable with real-world enterprise systems","Included only where Ethereum state is consumed","Is Chainlink feeding data into Ethereum execution paths?",""
"Axelar (enterprise contexts only)","Axelar Network","Protocol / Network","Enterprise Cross-Chain Integration","https://axelar.network","2021","Live (Ethereum mainnet)","Cross-chain messaging and settlement network enabling enterprises to connect Ethereum with other chains","Cross-chain messaging & settlement","Interoperability, orchestration","Payments, asset movement","Enterprise / Platform","Hybrid","Medium–High","Messaging / Settlement Bridge","Ethereum mainnet","Yes (multi-chain)","Enterprise systems, custody","Org-defined","Network-level","Compliance depends on endpoints","Network-governed","Validator-based","Audited","Platforms, enterprise pilots","Medium–High","Medium","Enables Ethereum to interoperate with multi-chain enterprise stacks","Cross-chain ≠ neutral risk","Does Ethereum remain the final settlement layer?",""
