"Entity","Maintaining Organization","Entity Type","Primary Archetype","Website","Custody Model","Key Management Architecture","Ethereum Asset Coverage","Transaction Signing Model","Key Recovery & Loss Mitigation","Approval Workflows","Policy Engine Capabilities","Emergency Controls","Insurance Coverage","Regulatory Licensing / Trust Status","Ethereum Dependency","Ethereum Role","L1 / L2 Support","Smart Contract Interaction Support","MEV / Gas Policy Controls","API & Automation","Compliance Tool Integrations","Institutional Adoption","Reason for Inclusion","Practitioner’s Note","Practitioner Validation Check"
"Fordefi","Fordefi","MPC Wallet Platform","Non-Custodial MPC Wallet","https://fordefi.com","Non-custodial","MPC (distributed key shards)","ETH, ERC-20, NFTs","MPC signing with policy checks","Shard redundancy + recovery","Role-based approvals","Fine-grained tx policies & allowlists","Transaction blocking","No (partner-dependent)","Not a custodian","High","ETH signing & policy enforcement","L1 + major L2s","Full dApp interaction","Gas & tx constraints","APIs + automation","KYT/AML integrations","Medium–High","Purpose-built for DeFi-active institutions","Strong for active ops; review DR rigor","Where are MPC shards hosted and governed?"
"Qredo","Qredo","MPC Network","MPC Custody & Settlement","https://www.qredo.com","Hybrid (network-based MPC)","MPC with decentralized validators","ETH, ERC-20","MPC signing via Qredo network","Network-level redundancy","Multi-party approvals","Network-enforced policies","Network halts","No native insurance","Proprietary network (not a bank)","Medium–High","ETH custody & settlement","L1 + ecosystem","Limited / mediated","Network-mediated","APIs","Compliance integrations","Medium","Combines MPC custody with settlement rails","Dependency on proprietary network","Can you exit without network coordination?"
"GK8","GK8 (Galaxy)","Key Management Platform","Institutional Key Security","https://www.gk8.io","Custodial & non-custodial","MPC + HSM (hybrid)","ETH, ERC-20","Policy-driven signing","HSM-backed recovery","Segregated approvals","Strong policy enforcement","Kill-switch / freeze","Insurance via partners","Used by regulated institutions","High","ETH key security","L1 + select L2s","Controlled","Conservative","APIs","AML/KYT integrations","Medium–High","Deep security posture for ETH keys","Strong for conservative risk profiles","Is MPC or HSM the primary trust anchor?"
"Fireblocks MPC Wallet","Fireblocks","MPC Wallet Infrastructure","Institutional MPC Wallet","https://www.fireblocks.com","Hybrid (custodial or non-custodial)","MPC (threshold ECDSA)","ETH, ERC-20, ERC-721/1155","MPC signing gated by policy engine","Distributed key shards + DR procedures","Role-based, multi-party approvals","Address allowlists, tx limits, delays","Transaction hold / cancel","Via partners","Depends on deployment mode","High","ETH signing & execution","L1 + major L2s","Full dApp / DeFi support","Gas limits & policy enforcement","Extensive APIs","KYT / AML integrations","Very High","Core MPC wallet primitive used across institutions","Wallet ≠ custody; custody depends on deployment mode","Who controls each MPC shard in your configuration?"
"ZenGo Institutional","ZenGo","MPC Wallet Platform","Non-Custodial MPC Wallet","https://zengo.com","Non-custodial","MPC (no seed phrase)","ETH, ERC-20, NFTs","MPC signing with client-side controls","Multi-factor recovery + biometric-assisted MPC","Limited (team / role configs emerging)","Basic policy constraints (evolving)","Account lock / recovery flows","No native insurance","Not a qualified custodian","Medium","ETH wallet security","L1 + select L2s","Limited","Minimal","APIs (early / limited)","Partner-based","Low–Medium","Relevant for teams needing simple MPC ETH control","Not yet regulator-grade custody","Does it meet your internal audit & segregation-of-duties requirements?"
"Fireblocks Policy Engine","Fireblocks","Policy & Control Layer","Transaction Governance Engine","https://www.fireblocks.com","Hybrid (depends on wallet mode)","MPC (inherits Fireblocks wallet)","ETH, ERC-20, NFTs","MPC signing gated by policy evaluation","Inherits Fireblocks DR & shard recovery","Role-based, multi-party approvals","Address allowlists, limits, time locks, DeFi controls","Transaction pause / reject","Via partners","Varies by deployment","High","Policy enforcement & execution gating","L1 + major L2s","Full (DeFi & contracts)","Gas caps, tx constraints","Full API access","KYT / AML integrations","Very High","Defines institutional transaction control on Ethereum","Treat as the “internal risk committee in code”","Are policies versioned, auditable, and regulator-defensible?"
"Safe Modules (institutional use)","Safe Ecosystem Foundation","On-Chain Governance Extensions","Modular Smart-Account Controls","https://safe.global","Non-custodial","Smart-contract multisig + modules","ETH, ERC-20, NFTs","Contract-based execution via modules","Signer rotation & recovery modules","Native multisig + role modules","Roles, delays, spending limits, conditional execution","Delay / guard modules","No","Open-source (non-custodial)","Very High","On-chain policy & execution","L1 + major L2s","Native","Execution & gas logic via modules","SDKs & automation","External compliance via integrators","Very High (DAO + enterprise)","Canonical on-chain governance primitive for Ethereum","Policies are on-chain law, not off-chain ops","Are modules audited and governance-approved?"
"Copper ClearLoop (Ethereum contexts)","Copper","Settlement & Risk Control","Off-Exchange Settlement Control","https://copper.co","Custodial & hybrid","MPC-based custody","ETH, ERC-20","MPC signing with settlement coordination","MPC redundancy & recovery","Settlement-aware approvals","Venue & counterparty risk limits","Settlement halts","Yes","FCA-registered (UK)","High","ETH settlement & risk containment","L1 + ecosystem","Limited","Settlement-driven","APIs","KYT / AML integrations","High","Reduces counterparty & settlement risk for ETH trading","Strong for active traders, not long-term cold custody","Is ClearLoop dependency acceptable in stress scenarios?"
"Anchorage Policy Engine","Anchorage Digital","Custody Policy Layer","Regulated Custody Governance","https://www.anchorage.com","Custodial","HSM-backed custody stack","ETH, ERC-20","Custodian-controlled signing","Regulated recovery & insurance","Institutional approval workflows","Conservative, compliance-first controls","Account-level freezes","Yes","US federally chartered trust bank","High","Custody governance & policy","L1 + select L2s","Controlled","Conservative","APIs & reporting","Deep compliance integrations","High","Regulator-grade policy enforcement for ETH custody","Strongest for qualified-custodian mandates","Does this meet your regulator’s fiduciary expectations?"
"Ledger Enterprise","Ledger","Enterprise Wallet Platform","Hardware-Backed Key Security","https://www.ledger.com/enterprise","Non-custodial","Secure Element + HSM-like isolation","ETH, ERC-20, NFTs","Hardware-enforced signing","Hardware redundancy + enterprise DR","Role-based approvals","Spending limits, whitelists, delays","Device lockdown / revocation","Via partners","Enterprise security certifications","High","Ethereum key custody & signing","L1 + major L2s","Controlled","Conservative","Enterprise APIs","KYT / AML via partners","High","Gold-standard hardware trust anchor for ETH","Hardware adds friction but reduces attack surface","Are device custody, geography, and access audited regularly?"
"Blockdaemon Wallet","Blockdaemon","Wallet & Infrastructure","Institutional Wallet & Ops","https://blockdaemon.com","Custodial & hybrid","HSM-backed signing + infra controls","ETH, ERC-20","Managed signing with infra policies","Infra-level redundancy & DR","Role-based governance","Ops-driven controls","Service-level halts","Via partners","Regulator-facing infra provider","High","ETH signing & validator ops","L1 + ecosystem","Limited","Conservative","APIs & automation","Compliance integrations","Medium–High","Bridges custody, signing, and staking ops","Strong for staking-heavy institutions","Is wallet signing segregated from validator ops risk?"
"AWS Key Management Service (Ethereum signing only)","Amazon Web Services","Cloud Security Service","Cloud HSM / KMS","https://aws.amazon.com/kms","Non-custodial (customer-controlled)","HSM-backed cloud keys","ETH (signing keys)","Programmatic signing via APIs","Cloud DR & redundancy","IAM-based approvals","IAM + service policies","Key disable / revoke","No","Cloud compliance certifications","Medium–High","Ethereum tx signing primitive","L1","Supported via integrations","None native","Full API","External AML/KYT","High (infra layer)","Widely used Ethereum signing primitive","Powerful but dangerous without layered controls","Are signing keys isolated from app-layer compromise?"
"HSM-backed Ethereum signing providers (category)","Thales / Utimaco / Futurex (examples)","Hardware Security Providers","Institutional HSM Signing","https://www.thalesgroup.com","Non-custodial","On-prem or hosted HSMs","ETH","HSM-enforced signing","Physical + logical DR","Org-defined approvals","External policy engines","Physical & logical kill-switch","No","FIPS / Common Criteria","High","Root-of-trust ETH signing","L1","Controlled","None native","APIs","External","Medium–High","Ultimate trust anchor for banks","Heavy ops overhead; high assurance","Is HSM integration audited end-to-end for ETH tx formats?"
"Anchorage Digital (recovery & insurance stack)","Anchorage Digital","Regulated Custodian","Recovery, Insurance & Assurance","https://www.anchorage.com","Custodial","HSM-backed proprietary custody","ETH, ERC-20","Custodian-controlled signing","Institutional recovery procedures, insured loss pathways","Regulated approval workflows","Conservative, compliance-first","Account freezes, court-ordered actions","Yes (custody insurance)","US federally chartered crypto bank","High","ETH custody assurance","L1 + select L2s","Controlled","Conservative","APIs & reporting","Deep regulatory integrations","High","Only ETH custodian with bank charter + insurance","Strongest for fiduciary and bankruptcy risk","Is insurance coverage explicit for ETH smart-contract interaction losses?"
"BitGo Insurance Programs","BitGo","Insurance & Risk Layer","Custody Insurance & Loss Mitigation","https://www.bitgo.com","Custodial & non-custodial","Multi-sig + MPC","ETH, ERC-20, NFTs","Multi-sig / MPC signing","Insurance-backed loss recovery programs","Role-based governance","Policy controls tied to insurance terms","Transaction blocking","Yes (BitGo insurance policies)","Qualified custodian (jurisdiction-dependent)","High","ETH custody risk mitigation","L1 + ecosystem","Supported","Policy-driven","APIs","AML/KYT integrations","High","One of the largest ETH insurance programs","Insurance terms shape operational behavior","What events are explicitly excluded from coverage?"
"Copper (insurance & risk services)","Copper Technologies","Risk & Assurance Platform","Custody Risk & Insurance Services","https://copper.co","Custodial & hybrid","MPC (ClearLoop architecture)","ETH, ERC-20","MPC signing with risk controls","Insurance + operational risk services","Settlement-aware approvals","Counterparty & venue risk limits","Settlement halts","Yes (partner-based insurance)","FCA-registered (UK)","High","ETH custody & settlement risk","L1 + ecosystem","Limited","Settlement-driven","APIs","Compliance integrations","High","Insurance + settlement risk tightly coupled","Strong for trading-heavy institutions","Does insurance extend across off-exchange settlement flows?"
